Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2013-01-08 01:00,8.40,-3.50,45.79,0
2013-01-08 01:30,9.40,-4.60,46.30,0
2013-01-08 02:00,12.90,-5.30,42.70,0
2013-01-08 02:30,13.30,-5.60,49.90,0
2013-01-08 03:00,11.70,-6.10,46.81,0
2013-01-08 03:30,13.80,-6.40,43.73,0
2013-01-08 04:00,10.90,-6.70,49.39,0
2013-01-08 04:30,12.10,-6.50,45.79,0
2013-01-08 05:00,10.70,-6.60,46.30,0
2013-01-08 05:30,11.10,-7.10,46.30,0
2013-01-08 06:00,13.80,-7.90,46.81,0
2013-01-08 06:30,11.50,-7.90,45.27,0
2013-01-08 07:00,13.70,-7.90,44.24,0
2013-01-08 07:30,13.70,-8.20,40.13,0
2013-01-08 08:00,6.20,-8.10,44.24,0
2013-01-08 08:30,6.60,-7.50,42.18,0
2013-01-08 09:00,6.60,-7.50,37.55,0
2013-01-08 09:30,8.20,-7.90,40.64,0
2013-01-08 10:00,8.20,-7.70,37.04,0
2013-01-08 10:30,6.00,-7.30,43.21,0
2013-01-08 11:00,9.20,-6.90,36.53,0
2013-01-08 11:30,7.00,-6.60,36.53,0
2013-01-08 12:00,4.70,-5.80,29.32,0
2013-01-08 12:30,2.50,-4.70,36.53,0
2013-01-08 13:00,3.90,-4.90,60.19,0
2013-01-08 13:30,2.90,-3.30,156.91,0
2013-01-08 14:00,1.80,-2.50,154.33,0
2013-01-08 14:30,1.20,-2.60,41.67,0
2013-01-08 15:00,2.50,-1.60,167.19,0
2013-01-08 15:30,1.20,-1.00,139.41,0
2013-01-08 16:00,2.50,-1.80,47.84,0
2013-01-08 16:30,2.70,-1.30,157.42,0
2013-01-08 17:00,2.70,-0.50,159.48,0
2013-01-08 17:30,3.10,-0.80,169.25,0
2013-01-08 18:00,4.30,0.20,127.58,0
2013-01-08 18:30,4.10,0.20,116.26,0
2013-01-08 19:00,4.10,0.30,102.89,0
2013-01-08 19:30,5.30,-0.40,99.29,0
2013-01-08 20:00,7.60,-0.70,89.00,0
2013-01-08 20:30,7.20,-0.70,78.20,0
2013-01-08 21:00,9.00,-1.40,86.43,0
2013-01-08 21:30,9.80,-1.20,90.03,0
2013-01-08 22:00,10.30,-1.40,87.97,0
2013-01-08 22:30,10.70,-1.30,88.48,0
2013-01-08 23:00,7.20,-1.40,82.83,0
2013-01-08 23:30,8.80,-1.70,81.80,0
2013-01-09 00:00,8.60,-1.50,82.83,0
2013-01-09 00:30,0.60,-1.60,174.91,0
2013-01-09 01:00,1.20,-1.70,83.34,0
2013-01-09 01:30,6.60,-1.90,82.31,0
2013-01-09 02:00,4.50,-1.50,83.85,0
2013-01-09 02:30,2.50,-1.50,97.23,0
2013-01-09 03:00,3.50,-2.30,85.91,0
2013-01-09 03:30,2.10,-2.40,99.80,0
2013-01-09 04:00,1.00,-3.10,45.27,0
2013-01-09 04:30,2.30,-2.80,119.35,0
2013-01-09 05:00,1.80,-3.40,55.56,0
2013-01-09 05:30,1.00,-4.40,36.01,0
2013-01-09 06:00,2.50,-3.70,108.03,0
2013-01-09 06:30,4.90,-5.20,57.10,0
2013-01-09 07:00,3.70,-3.80,78.71,0
2013-01-09 07:30,5.90,-5.10,67.91,0
2013-01-09 08:00,11.30,-7.10,58.13,0
2013-01-09 08:30,11.10,-7.50,55.56,0
