Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2009-12-30 22:00,2.70,-10.80,114.21,0
2009-12-30 23:00,4.70,-12.00,98.26,0
2009-12-31 00:00,5.70,-12.00,78.71,0
2009-12-31 01:00,3.90,-11.80,98.77,0
2009-12-31 02:00,2.50,-11.80,101.86,0
2009-12-31 03:00,1.40,-12.10,107.52,0
2009-12-31 04:00,7.20,-13.80,90.54,0
2009-12-31 05:00,2.90,-13.80,92.60,0
2009-12-31 06:00,4.70,-12.10,87.46,0
2009-12-31 07:00,1.20,-13.10,167.71,0
2009-12-31 08:00,7.00,-14.30,18.01,0
2009-12-31 09:00,5.70,-15.20,182.11,0
2009-12-31 10:00,8.20,-14.30,11.83,0
2009-12-31 11:00,16.20,-14.70,15.43,0
2009-12-31 12:00,10.50,-14.80,9.77,0
2009-12-31 13:00,14.40,-14.40,182.63,0
2009-12-31 14:00,10.10,-13.60,173.37,0
2009-12-31 15:00,10.50,-12.40,174.40,0
2009-12-31 16:00,10.90,-12.30,171.31,0
2009-12-31 17:00,3.50,-9.60,40.13,0
2009-12-31 18:00,2.30,-9.50,2.57,0
2009-12-31 19:00,2.30,-9.90,51.44,0
2009-12-31 20:00,3.30,-9.90,23.66,0
2009-12-31 21:00,4.10,-10.20,23.66,0
2009-12-31 22:00,2.10,-10.70,29.32,0
2009-12-31 23:00,1.60,-10.70,64.31,0
2010-01-01 00:00,2.50,-11.00,43.21,0
2010-01-01 01:00,4.50,-11.60,101.35,0
2010-01-01 02:00,2.70,-12.20,173.37,0
2010-01-01 03:00,5.70,-12.50,163.08,0
2010-01-01 04:00,1.40,-12.60,124.50,0
2010-01-01 05:00,8.60,-13.20,168.22,0
2010-01-01 06:00,12.30,-13.30,173.37,0
2010-01-01 07:00,10.50,-13.20,178.51,0
2010-01-01 08:00,11.10,-13.20,180.57,0
2010-01-01 09:00,11.10,-13.00,180.06,0
2010-01-01 10:00,12.30,-12.80,180.57,0
2010-01-01 11:00,13.30,-12.50,179.54,0
2010-01-01 12:00,17.20,-12.50,169.25,0
2010-01-01 13:00,16.80,-12.10,170.28,0
2010-01-01 14:00,11.70,-11.50,165.65,0
2010-01-01 15:00,12.90,-11.60,172.85,0
2010-01-01 16:00,15.60,-11.50,175.43,0
2010-01-01 17:00,10.90,-11.20,180.06,0
2010-01-01 18:00,17.20,-11.20,175.94,0
2010-01-01 19:00,20.70,-11.80,167.19,0
2010-01-01 20:00,18.10,-11.80,178.51,0
2010-01-01 21:00,23.40,-11.60,179.54,0
2010-01-01 22:00,23.60,-11.20,166.68,0
2010-01-01 23:00,18.30,-11.40,180.57,0
2010-01-02 00:00,20.30,-11.30,179.03,0
2010-01-02 01:00,20.10,-11.50,182.63,0
2010-01-02 02:00,11.90,-11.60,180.57,0
2010-01-02 03:00,16.00,-11.70,183.66,0
2010-01-02 04:00,17.40,-11.70,179.03,0
2010-01-02 05:00,22.00,-11.60,180.57,0
2010-01-02 06:00,20.10,-11.60,183.14,0
2010-01-02 07:00,18.90,-11.70,7.20,0
2010-01-02 08:00,20.10,-11.80,179.54,0
2010-01-02 09:00,22.80,-11.70,181.08,0
2010-01-02 10:00,11.50,-11.80,184.69,0
2010-01-02 11:00,22.60,-11.30,183.66,0
2010-01-02 12:00,25.00,-10.80,181.08,0
2010-01-02 13:00,22.60,-10.30,179.03,0
2010-01-02 14:00,22.00,-10.20,181.60,0
2010-01-02 15:00,23.40,-10.10,182.63,0
2010-01-02 16:00,19.10,-9.90,180.06,0
2010-01-02 17:00,17.70,-9.80,179.54,0
2010-01-02 18:00,18.10,-9.70,179.54,0
2010-01-02 19:00,19.10,-9.70,180.06,0
2010-01-02 20:00,15.20,-9.40,179.54,0
2010-01-02 21:00,14.60,-9.30,179.54,0
2010-01-02 22:00,12.10,-9.30,7.20,0
2010-01-02 23:00,12.90,-9.60,11.83,0
