Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2009-12-31 20:00,15.80,-9.60,167.19,0
2009-12-31 21:00,17.20,-9.70,169.25,0
2009-12-31 22:00,15.20,-9.90,168.74,0
2009-12-31 23:00,23.40,-10.30,164.11,0
2010-01-01 00:00,19.10,-10.80,167.19,0
2010-01-01 01:00,17.60,-11.40,161.02,0
2010-01-01 02:00,22.80,-12.20,144.56,0
2010-01-01 03:00,17.40,-14.80,138.90,0
2010-01-01 04:00,14.40,-14.90,140.96,0
2010-01-01 05:00,10.90,-15.10,144.56,0
2010-01-01 06:00,9.20,-14.90,147.65,0
2010-01-01 07:00,10.90,-14.90,136.33,0
2010-01-01 08:00,11.30,-15.20,140.96,0
2010-01-01 09:00,9.40,-15.00,146.62,0
2010-01-01 10:00,4.10,-14.70,133.24,0
2010-01-01 11:00,2.90,-14.50,116.78,0
2010-01-01 12:00,4.90,-14.90,42.18,0
2010-01-01 13:00,5.50,-14.80,62.76,0
2010-01-01 14:00,5.10,-14.50,70.99,0
2010-01-01 15:00,8.00,-14.50,64.31,0
2010-01-01 16:00,8.80,-14.30,64.31,0
2010-01-01 17:00,9.40,-14.00,62.76,0
2010-01-01 18:00,3.30,-12.70,73.05,0
2010-01-01 19:00,6.60,-13.20,86.43,0
2010-01-01 20:00,9.20,-10.90,161.02,0
2010-01-01 21:00,31.60,-10.60,13.89,0
2010-01-01 23:00,29.10,-10.90,15.95,0
2010-01-02 00:00,26.90,-11.10,15.43,0
2010-01-02 01:00,28.90,-11.10,17.49,0
2010-01-02 02:00,27.70,-11.10,18.01,0
2010-01-02 03:00,21.10,-11.20,18.01,0
2010-01-02 04:00,24.00,-11.10,19.55,0
2010-01-02 05:00,23.40,-11.00,19.03,0
2010-01-02 06:00,21.30,-10.70,14.92,0
2010-01-02 07:00,27.10,-10.90,17.49,0
2010-01-02 08:00,27.50,-10.60,19.03,0
2010-01-02 09:00,31.40,-10.10,18.01,0
2010-01-02 10:00,20.50,-9.50,19.03,0
2010-01-02 11:00,22.80,-9.20,18.52,0
2010-01-02 12:00,27.30,-8.80,13.89,0
2010-01-02 13:00,24.20,-8.50,16.46,0
2010-01-02 14:00,29.80,-8.20,13.89,0
2010-01-02 15:00,24.80,-7.90,11.83,0
2010-01-02 16:00,35.50,-7.60,13.89,0
2010-01-02 17:00,33.50,-7.50,16.46,0
2010-01-02 18:00,28.70,-7.60,14.92,0
2010-01-02 19:00,26.10,-7.80,15.95,0
2010-01-02 20:00,21.50,-8.00,19.03,0
2010-01-02 21:00,24.80,-7.50,16.98,0
2010-01-02 22:00,26.30,-7.40,16.46,0
2010-01-02 23:00,20.90,-7.90,13.38,0
2010-01-03 00:00,17.60,-8.10,12.35,0
2010-01-03 01:00,22.40,-7.90,13.89,0
2010-01-03 02:00,20.10,-8.60,11.32,0
2010-01-03 03:00,29.10,-8.60,9.26,0
2010-01-03 04:00,12.30,-9.40,18.52,0
2010-01-03 05:00,4.70,-9.90,38.07,0
2010-01-03 06:00,14.40,-9.80,16.98,0
2010-01-03 07:00,17.20,-9.50,22.64,0
2010-01-03 08:00,16.00,-9.70,24.69,0
2010-01-03 09:00,23.80,-9.10,19.03,0
2010-01-03 10:00,17.60,-8.80,22.12,0
2010-01-03 11:00,11.30,-8.40,13.89,0
2010-01-03 12:00,11.30,-7.90,16.98,0
2010-01-03 13:00,25.00,-7.70,10.29,0
2010-01-03 14:00,16.00,-7.50,11.32,0
2010-01-03 15:00,15.40,-7.60,14.40,0
2010-01-03 16:00,17.00,-8.20,17.49,0
2010-01-03 17:00,23.40,-8.00,15.43,0
2010-01-03 18:00,16.00,-7.40,19.03,0
2010-01-03 19:00,12.10,-7.10,18.01,0
2010-01-03 20:00,14.60,-7.10,19.03,0
2010-01-03 21:00,10.50,-7.30,24.18,0
2010-01-03 22:00,15.60,-7.10,19.55,0
2010-01-03 23:00,17.90,-7.20,18.52,0
2010-01-04 00:00,14.60,-7.20,21.09,0
2010-01-04 01:00,12.30,-7.50,26.24,0
2010-01-04 02:00,13.70,-7.40,26.24,0
2010-01-04 03:00,12.90,-7.70,24.69,0
2010-01-04 04:00,11.50,-8.40,30.87,0
2010-01-04 05:00,10.70,-8.40,25.72,0
2010-01-04 06:00,17.00,-9.10,16.98,0
2010-01-04 07:00,17.40,-9.20,16.46,0
2010-01-04 08:00,16.40,-9.50,23.15,0
2010-01-04 09:00,24.80,-9.30,12.35,0
2010-01-04 10:00,19.10,-9.30,13.38,0
2010-01-04 11:00,19.90,-9.20,10.80,0
