Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2019-01-07 12:56,,-3.10,,0
2019-01-07 12:57,,-3.70,,0
2019-01-07 12:58,,-3.80,,0
2019-01-07 12:59,,-3.80,,0
2019-01-07 13:00,,-3.60,,0
2019-01-07 13:01,,-4.00,,0
2019-01-07 13:02,,-4.70,,0
2019-01-07 13:03,,-4.20,,0
2019-01-07 13:04,,-3.80,,0
2019-01-07 13:05,,-2.40,,0
2019-01-07 13:06,,-2.60,,0
2019-01-07 13:07,,-3.30,,0
2019-01-07 13:08,,-3.00,,0
2019-01-07 13:09,,-4.00,,0
2019-01-07 13:10,,-3.50,,0
2019-01-07 13:11,,-3.90,,0
2019-01-07 13:12,,-3.40,,0
2019-01-07 13:13,,-1.90,,0
2019-01-07 13:14,,-3.60,,0
2019-01-07 13:15,,-2.80,,0
2019-01-07 13:16,,-1.60,,0
2019-01-07 13:17,,-0.20,,0
2019-01-07 13:18,,-2.00,,0
2019-01-07 13:19,,-1.60,,0
2019-01-07 13:20,,-1.90,,0
2019-01-07 13:21,,-0.90,,0
2019-01-07 13:22,,-1.80,,0
2019-01-07 13:23,,-2.30,,0
2019-01-07 13:24,,-1.10,,0
2019-01-07 13:25,,-0.20,,0
2019-01-07 13:26,,-0.20,,0
2019-01-07 13:27,,-1.60,,0
2019-01-07 13:28,,-1.50,,0
2019-01-07 13:29,,-1.80,,0
2019-01-07 13:30,,-0.60,,0
2019-01-07 13:31,,-0.80,,0
2019-01-07 13:32,,-0.40,,0
2019-01-07 13:33,,-1.40,,0
2019-01-07 13:34,,-0.90,,0
2019-01-07 13:35,,0.60,,0
2019-01-07 13:36,,0.20,,0
2019-01-07 13:37,,-0.20,,0
2019-01-07 13:38,,-0.80,,0
2019-01-07 13:39,,-1.20,,0
2019-01-07 13:40,,-1.80,,0
2019-01-07 13:41,,-0.60,,0
2019-01-07 13:42,,-0.30,,0
2019-01-07 13:43,,-0.10,,0
2019-01-07 13:44,,-0.60,,0
2019-01-07 13:45,,-1.30,,0
2019-01-07 13:46,,-0.60,,0
2019-01-07 13:47,,-1.80,,0
2019-01-07 13:48,,0.40,,0
2019-01-07 13:49,,-0.90,,0
2019-01-07 13:50,,-1.10,,0
2019-01-07 13:51,,-0.80,,0
2019-01-07 13:52,,-1.50,,0
2019-01-07 13:53,,-1.60,,0
2019-01-07 13:54,,-2.00,,0
2019-01-07 13:55,,-0.10,,0
2019-01-07 13:56,,-0.60,,0
2019-01-07 13:56,,-0.90,,0
2019-01-07 13:57,,-0.90,,0
2019-01-07 13:58,,-2.10,,0
2019-01-07 13:59,,-1.60,,0
2019-01-07 14:00,,-1.60,,0
2019-01-07 14:01,,-0.90,,0
2019-01-07 14:02,,-0.70,,0
2019-01-07 14:03,,-0.40,,0
2019-01-07 14:04,,0.10,,0
2019-01-07 14:05,,-1.30,,0
2019-01-07 14:06,,-0.90,,0
2019-01-07 14:07,,-0.40,,0
2019-01-07 14:08,,-1.20,,0
2019-01-07 14:09,,-0.90,,0
2019-01-07 14:10,,-1.60,,0
2019-01-07 14:11,,-1.10,,0
2019-01-07 14:12,,-1.20,,0
2019-01-07 14:13,,-0.80,,0
2019-01-07 14:14,,-1.10,,0
2019-01-07 14:15,,-1.10,,0
2019-01-07 14:16,,-1.10,,0
2019-01-07 14:17,,-0.30,,0
2019-01-07 14:18,,1.50,,0
2019-01-07 14:19,,0.60,,0
2019-01-07 14:20,,0.60,,0
2019-01-07 14:21,,-0.10,,0
2019-01-07 14:22,,-0.70,,0
2019-01-07 14:23,,-1.70,,0
2019-01-07 14:24,,-1.30,,0
2019-01-07 14:25,,-1.70,,0
2019-01-07 14:26,,-1.90,,0
2019-01-07 14:27,,-2.20,,0
2019-01-07 14:28,,-1.80,,0
2019-01-07 14:29,,-1.60,,0
2019-01-07 14:30,,-0.10,,0
2019-01-07 14:31,,-1.50,,0
2019-01-07 14:32,,-0.90,,0
2019-01-07 14:33,,-1.40,,0
2019-01-07 14:34,,-1.90,,0
2019-01-07 14:35,,-1.20,,0
2019-01-07 14:36,,-2.30,,0
2019-01-07 14:37,,-1.20,,0
2019-01-07 14:38,,-2.10,,0
2019-01-07 14:39,,-1.30,,0
2019-01-07 14:40,,-1.60,,0
2019-01-07 14:41,,-1.10,,0
2019-01-07 14:42,,-1.90,,0
2019-01-07 14:43,,-1.30,,0
2019-01-07 14:44,,-0.70,,0
2019-01-07 14:45,,-0.10,,0
2019-01-07 14:46,,-1.10,,0
2019-01-07 14:47,,-0.60,,0
2019-01-07 14:48,,-1.20,,0
2019-01-07 14:49,,0.20,,0
2019-01-07 14:50,,-0.80,,0
2019-01-07 14:51,,-1.70,,0
2019-01-07 14:52,,-2.20,,0
2019-01-07 14:53,,-1.90,,0
2019-01-07 14:54,,-1.80,,0
2019-01-07 14:55,,-2.00,,0
2019-01-07 14:56,,-1.30,,0
2019-01-07 14:57,,0.20,,0
2019-01-07 14:58,,-1.50,,0
2019-01-07 14:59,,-1.50,,0
2019-01-07 15:00,,-1.20,,0
2019-01-07 15:01,,-0.80,,0
2019-01-07 15:02,,-1.00,,0
2019-01-07 15:03,,-0.80,,0
2019-01-07 15:04,,-1.40,,0
2019-01-07 15:05,,-1.10,,0
2019-01-07 15:06,,-1.00,,0
2019-01-07 15:06,,-1.20,,0
2019-01-07 15:07,,-1.60,,0
2019-01-07 15:08,,-1.10,,0
2019-01-07 15:09,,-0.40,,0
2019-01-07 15:10,,-1.00,,0
2019-01-07 15:11,,-0.60,,0
2019-01-07 15:12,,-0.90,,0
2019-01-07 15:13,,-0.80,,0
2019-01-07 15:14,,-1.10,,0
2019-01-07 15:15,,-1.90,,0
2019-01-07 15:16,,-1.30,,0
2019-01-07 15:17,,-1.20,,0
2019-01-07 15:18,,-1.60,,0
2019-01-07 15:19,,-1.80,,0
2019-01-07 15:20,,-1.80,,0
2019-01-07 15:21,,-0.50,,0
2019-01-07 15:22,,-1.80,,0
2019-01-07 15:23,,-1.20,,0
2019-01-07 15:24,,-1.00,,0
2019-01-07 15:25,,-0.60,,0
2019-01-07 15:26,,-0.90,,0
2019-01-07 15:27,,-0.90,,0
2019-01-07 15:28,,-1.60,,0
2019-01-07 15:29,,-1.30,,0
2019-01-07 15:30,,-1.30,,0
2019-01-07 15:31,,-1.80,,0
2019-01-07 15:32,,-1.70,,0
2019-01-07 15:33,,-1.60,,0
2019-01-07 15:34,,-1.30,,0
2019-01-07 15:35,,-1.30,,0
2019-01-07 15:36,,-1.00,,0
2019-01-07 15:37,,-0.80,,0
2019-01-07 15:38,,0.40,,0
2019-01-07 15:39,,-1.40,,0
2019-01-07 15:40,,-1.70,,0
2019-01-07 15:41,,-1.20,,0
2019-01-07 15:42,,-1.20,,0
2019-01-07 15:43,,1.10,,0
2019-01-07 15:44,,-0.70,,0
2019-01-07 15:45,,-0.80,,0
2019-01-07 15:46,,-0.50,,0
2019-01-07 15:47,,1.90,,0
2019-01-07 15:48,,0.80,,0
2019-01-07 15:49,,-0.30,,0
2019-01-07 15:50,,1.90,,0
2019-01-07 15:51,,1.60,,0
2019-01-07 15:52,,-0.20,,0
2019-01-07 15:53,,-1.30,,0
2019-01-07 15:54,,-1.40,,0
2019-01-07 15:55,,0.30,,0
