Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2014-12-21 02:00,1.20,-10.20,141.99,0
2014-12-21 02:30,4.10,-9.90,137.87,0
2014-12-21 03:00,5.70,-11.00,136.33,0
2014-12-21 03:30,3.70,-10.20,135.30,0
2014-12-21 04:00,1.40,-10.00,123.98,0
2014-12-21 04:30,3.10,-8.50,129.13,0
2014-12-21 05:00,1.20,-9.20,176.45,0
2014-12-21 05:30,2.10,-10.10,65.85,0
2014-12-21 06:00,3.10,-10.70,134.78,0
2014-12-21 06:30,2.10,-10.40,138.39,0
2014-12-21 07:00,3.90,-10.40,154.33,0
2014-12-21 07:30,5.10,-10.70,135.30,0
2014-12-21 08:00,3.90,-10.70,118.84,0
2014-12-21 08:30,1.60,-11.40,125.01,0
2014-12-21 09:00,5.50,-11.10,136.33,0
2014-12-21 09:30,2.70,-11.70,148.67,0
2014-12-21 10:00,4.90,-11.60,116.26,0
2014-12-21 10:30,2.90,-12.10,104.43,0
2014-12-21 11:00,6.00,-12.40,130.15,0
2014-12-21 11:30,2.10,-12.50,133.76,0
2014-12-21 12:00,4.10,-12.40,141.99,0
2014-12-21 12:30,6.60,-12.80,136.33,0
2014-12-21 13:00,3.70,-12.50,143.02,0
2014-12-21 13:30,7.80,-12.40,172.85,0
2014-12-21 14:00,8.20,-12.60,164.11,0
2014-12-21 14:30,9.80,-12.60,166.68,0
2014-12-21 15:00,10.70,-12.60,160.51,0
2014-12-21 15:30,8.80,-12.60,160.51,0
2014-12-21 16:00,10.50,-12.60,159.99,0
2014-12-21 16:30,5.50,-12.60,154.33,0
2014-12-21 17:00,7.00,-12.60,150.22,0
2014-12-21 17:30,6.80,-12.70,137.87,0
2014-12-21 18:00,6.60,-12.50,122.95,0
2014-12-21 18:30,7.40,-12.40,137.87,0
2014-12-21 19:00,5.30,-12.50,142.50,0
2014-12-21 19:30,7.00,-12.60,153.82,0
2014-12-21 20:00,7.00,-12.60,142.50,0
2014-12-21 20:30,4.70,-12.60,134.27,0
2014-12-21 21:00,6.20,-12.30,148.67,0
2014-12-21 21:30,6.80,-12.60,133.24,0
2014-12-21 22:00,7.80,-12.50,131.18,0
2014-12-21 22:30,6.40,-12.40,132.73,0
2014-12-21 23:00,6.80,-12.50,134.78,0
2014-12-21 23:30,1.40,-10.50,52.99,0
2014-12-22 00:00,2.90,-10.50,140.44,0
2014-12-22 00:30,4.10,-11.50,138.90,0
2014-12-22 01:00,2.00,-11.40,131.18,0
2014-12-22 01:30,2.30,-10.90,143.02,0
2014-12-22 02:00,1.60,-9.80,155.36,0
2014-12-22 02:30,3.10,-9.50,118.84,0
2014-12-22 03:00,4.90,-10.30,140.96,0
2014-12-22 03:30,6.60,-10.40,135.81,0
2014-12-22 04:00,4.30,-10.30,132.21,0
2014-12-22 04:30,5.50,-10.60,137.87,0
2014-12-22 05:00,5.10,-9.80,124.50,0
2014-12-22 05:30,3.90,-10.80,131.70,0
2014-12-22 06:00,6.20,-11.20,139.93,0
2014-12-22 06:30,4.30,-10.10,116.78,0
2014-12-22 07:00,3.70,-10.60,129.13,0
2014-12-22 07:30,4.90,-11.00,135.81,0
2014-12-22 08:00,4.70,-10.50,116.78,0
2014-12-22 08:30,2.50,-9.90,99.80,0
2014-12-22 09:00,1.00,-10.80,93.63,0
2014-12-22 09:30,0.40,-10.20,128.61,0
