Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2010-01-06 21:00,1.80,-5.90,9.77,0
2010-01-06 22:00,3.10,-6.60,175.43,0
2010-01-06 23:00,3.10,-5.70,137.87,0
2010-01-07 00:00,2.50,-5.60,117.81,0
2010-01-07 01:00,7.00,-6.90,136.33,0
2010-01-07 02:00,8.80,-7.70,128.61,0
2010-01-07 03:00,7.40,-7.80,135.81,0
2010-01-07 04:00,7.80,-7.20,137.36,0
2010-01-07 05:00,5.10,-6.60,138.39,0
2010-01-07 06:00,7.20,-6.30,130.67,0
2010-01-07 07:00,6.60,-6.00,136.33,0
2010-01-07 08:00,4.90,-5.40,138.39,0
2010-01-07 09:00,4.50,-5.00,140.96,0
2010-01-07 10:00,13.70,-7.50,145.07,0
2010-01-07 11:00,9.00,-6.10,134.27,0
2010-01-07 12:00,7.60,-5.50,140.96,0
2010-01-07 13:00,4.50,-5.00,141.47,0
2010-01-07 14:00,4.90,-4.90,135.81,0
2010-01-07 15:00,5.30,-4.00,147.13,0
2010-01-07 16:00,1.80,-2.20,39.61,0
2010-01-07 17:00,2.10,-3.50,115.75,0
2010-01-07 18:00,2.90,-4.20,20.58,0
2010-01-07 19:00,3.50,-5.00,5.66,0
2010-01-07 20:00,2.90,-4.10,5.66,0
2010-01-07 21:00,6.40,-4.80,8.75,0
2010-01-07 22:00,5.70,-5.30,17.49,0
2010-01-07 23:00,2.70,-5.70,2.57,0
2010-01-08 00:00,3.70,-5.90,20.58,0
2010-01-08 01:00,4.50,-6.60,13.38,0
2010-01-08 02:00,4.50,-7.10,181.60,0
2010-01-08 03:00,4.50,-6.50,181.08,0
2010-01-08 04:00,5.30,-6.10,174.40,0
2010-01-08 05:00,5.70,-7.10,177.48,0
2010-01-08 06:00,6.40,-5.70,175.94,0
2010-01-08 07:00,5.70,-6.20,183.66,0
2010-01-08 08:00,3.50,-6.70,0.00,0
2010-01-08 09:00,4.30,-5.90,180.06,0
2010-01-08 10:00,6.60,-7.10,172.85,0
2010-01-08 11:00,4.70,-6.30,10.29,0
2010-01-08 12:00,4.50,-6.20,7.72,0
2010-01-08 13:00,2.70,-6.30,27.78,0
2010-01-08 14:00,5.90,-6.10,20.06,0
2010-01-08 15:00,6.20,-6.40,20.58,0
2010-01-08 16:00,8.00,-6.40,20.58,0
2010-01-08 17:00,7.60,-6.50,16.98,0
2010-01-08 18:00,7.40,-6.70,19.55,0
2010-01-08 19:00,7.80,-7.00,13.89,0
2010-01-08 20:00,8.60,-7.30,18.01,0
2010-01-08 21:00,9.20,-7.00,17.49,0
2010-01-08 22:00,9.20,-7.60,13.38,0
2010-01-08 23:00,9.80,-8.50,6.69,0
2010-01-09 00:00,10.50,-8.40,11.83,0
2010-01-09 01:00,10.30,-8.90,17.49,0
2010-01-09 02:00,8.40,-9.20,21.61,0
2010-01-09 03:00,8.40,-9.50,13.89,0
2010-01-09 04:00,8.40,-9.70,8.75,0
2010-01-09 05:00,8.40,-8.90,6.17,0
2010-01-09 06:00,7.60,-8.30,7.20,0
2010-01-09 07:00,6.00,-8.90,5.66,0
2010-01-09 08:00,3.50,-9.70,177.48,0
2010-01-09 09:00,6.00,-9.20,11.83,0
2010-01-09 10:00,6.00,-9.10,19.55,0
2010-01-09 11:00,7.40,-9.00,19.03,0
2010-01-09 12:00,5.30,-8.40,20.06,0
2010-01-09 13:00,5.30,-8.00,18.01,0
2010-01-09 14:00,6.00,-7.30,8.23,0
2010-01-09 15:00,3.70,-7.20,19.55,0
2010-01-09 16:00,1.20,-6.20,49.90,0
2010-01-09 17:00,3.70,-7.20,30.35,0
2010-01-09 18:00,2.90,-6.60,18.52,0
2010-01-09 19:00,3.70,-7.60,19.55,0
2010-01-09 20:00,3.30,-5.70,169.25,0
2010-01-09 21:00,2.00,-7.30,13.38,0
2010-01-09 22:00,2.00,-4.90,114.72,0
2010-01-09 23:00,2.70,-5.90,119.35,0
2010-01-10 00:00,3.10,-7.20,132.21,0
2010-01-10 01:00,4.10,-7.30,131.70,0
2010-01-10 02:00,4.50,-8.40,136.84,0
2010-01-10 03:00,4.90,-8.60,138.39,0
2010-01-10 04:00,6.60,-9.10,139.93,0
2010-01-10 05:00,7.80,-9.40,136.33,0
2010-01-10 06:00,10.70,-9.50,137.87,0
2010-01-10 07:00,12.30,-9.50,137.36,0
2010-01-10 08:00,14.00,-9.60,139.93,0
2010-01-10 09:00,10.50,-9.70,139.93,0
2010-01-10 10:00,13.80,-10.30,140.44,0
2010-01-10 11:00,13.70,-9.90,140.44,0
2010-01-10 12:00,11.50,-10.10,134.78,0
2010-01-10 13:00,13.30,-9.60,138.90,0
2010-01-10 14:00,8.80,-8.90,136.33,0
2010-01-10 15:00,10.70,-8.40,129.13,0
2010-01-10 16:00,7.40,-7.80,138.90,0
2010-01-10 17:00,6.40,-7.00,131.18,0
2010-01-10 18:00,1.80,-7.90,48.36,0
2010-01-10 19:00,2.30,-5.80,118.84,0
2010-01-10 20:00,2.00,-7.20,39.61,0
2010-01-10 21:00,8.20,-7.00,127.07,0
2010-01-10 22:00,15.60,-7.70,137.36,0
2010-01-10 23:00,17.20,-8.20,136.84,0
2010-01-11 00:00,14.20,-8.50,137.87,0
2010-01-11 01:00,17.20,-9.20,139.93,0
2010-01-11 02:00,18.90,-9.10,140.44,0
2010-01-11 03:00,21.30,-9.40,139.93,0
2010-01-11 04:00,20.50,-9.50,140.44,0
2010-01-11 05:00,20.30,-10.10,139.93,0
2010-01-11 06:00,19.10,-10.40,140.44,0
2010-01-11 07:00,15.20,-10.30,138.39,0
2010-01-11 08:00,15.20,-9.50,139.93,0
2010-01-11 09:00,10.50,-9.80,138.90,0
2010-01-11 10:00,9.00,-9.10,137.36,0
2010-01-11 11:00,8.60,-8.80,132.73,0
2010-01-11 12:00,8.00,-8.90,137.87,0
2010-01-11 13:00,4.90,-8.60,129.64,0
2010-01-11 14:00,2.70,-7.80,120.38,0
2010-01-11 15:00,2.00,-7.80,56.59,0
2010-01-11 16:00,1.00,-4.20,54.02,0
2010-01-11 17:00,1.40,-7.40,40.13,0
2010-01-11 18:00,2.90,-7.80,27.78,0
2010-01-11 19:00,2.10,-6.60,19.03,0
2010-01-11 20:00,1.80,-7.00,46.81,0
2010-01-11 21:00,1.00,-6.20,134.27,0
2010-01-11 22:00,1.60,-6.70,123.98,0
2010-01-11 23:00,0.60,-4.50,130.67,0
2010-01-12 00:00,4.70,-7.90,159.99,0
2010-01-12 01:00,3.50,-7.80,133.24,0
2010-01-12 02:00,3.90,-7.60,134.27,0
2010-01-12 03:00,3.90,-7.60,126.55,0
2010-01-12 04:00,7.80,-7.80,145.07,0
2010-01-12 05:00,12.90,-9.40,143.02,0
2010-01-12 06:00,12.30,-7.50,140.96,0
2010-01-12 07:00,20.10,-9.30,145.59,0
2010-01-12 08:00,19.90,-8.80,143.53,0
2010-01-12 09:00,18.30,-7.80,138.90,0
2010-01-12 10:00,14.60,-7.50,132.73,0
2010-01-12 11:00,18.70,-7.60,142.50,0
2010-01-12 12:00,17.60,-7.10,139.93,0
2010-01-12 13:00,15.80,-6.60,136.33,0
2010-01-12 14:00,16.80,-6.90,140.96,0
2010-01-12 15:00,16.20,-6.00,138.90,0
2010-01-12 16:00,13.70,-5.40,132.73,0
2010-01-12 17:00,14.00,-4.80,136.84,0
2010-01-12 18:00,6.60,-4.50,130.15,0
2010-01-12 19:00,0.80,-3.60,122.44,0
2010-01-12 20:00,5.30,-4.30,131.18,0
2010-01-12 21:00,6.80,-4.30,154.33,0
2010-01-12 22:00,13.80,-4.20,131.18,0
2010-01-12 23:00,15.00,-4.30,127.58,0
2010-01-13 00:00,9.40,-5.10,138.39,0
2010-01-13 01:00,10.10,-5.10,135.30,0
2010-01-13 02:00,10.90,-5.40,142.50,0
2010-01-13 03:00,10.50,-5.80,149.19,0
2010-01-13 04:00,11.70,-6.40,147.13,0
2010-01-13 05:00,10.90,-5.80,157.42,0
2010-01-13 06:00,13.70,-6.10,148.67,0
2010-01-13 07:00,13.80,-6.00,148.67,0
2010-01-13 08:00,11.70,-5.00,148.67,0
2010-01-13 09:00,5.70,-4.30,130.67,0
2010-01-13 10:00,9.60,-5.20,137.87,0
2010-01-13 11:00,11.30,-5.20,143.53,0
2010-01-13 12:00,8.80,-5.10,147.65,0
2010-01-13 13:00,6.60,-3.90,152.79,0
2010-01-13 14:00,2.00,-2.60,156.91,0
2010-01-13 15:00,2.50,-2.00,182.63,0
2010-01-13 16:00,3.90,-2.30,24.18,0
2010-01-13 17:00,4.50,-2.80,31.38,0
2010-01-13 18:00,8.40,-2.60,8.75,0
2010-01-13 19:00,8.20,-2.50,10.80,0
2010-01-13 20:00,8.20,-2.40,14.40,0
2010-01-13 21:00,9.20,-2.90,18.01,0
2010-01-13 22:00,5.90,-3.30,11.83,0
2010-01-13 23:00,6.40,-2.60,2.57,0
2010-01-14 00:00,3.90,-1.80,5.14,0
2010-01-14 01:00,6.80,-2.80,174.40,0
2010-01-14 02:00,6.40,-3.60,172.34,0
2010-01-14 03:00,7.60,-3.10,0.00,0
2010-01-14 04:00,6.80,-2.80,183.66,0
2010-01-14 05:00,8.40,-3.30,182.63,0
2010-01-14 06:00,8.40,-5.20,180.06,0
2010-01-14 07:00,7.40,-4.90,178.00,0
2010-01-14 08:00,8.00,-4.20,178.51,0
2010-01-14 09:00,6.80,-3.90,179.03,0
2010-01-14 10:00,9.20,-3.60,8.75,0
2010-01-14 11:00,9.80,-2.60,18.01,0
2010-01-14 12:00,9.60,-3.10,7.20,0
2010-01-14 13:00,6.40,-3.00,20.06,0
2010-01-14 14:00,10.90,-2.90,15.95,0
2010-01-14 15:00,8.80,-3.00,19.03,0
2010-01-14 16:00,6.40,-2.90,27.27,0
