Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2013-12-30 19:02,11.50,-12.30,94.66,0
2013-12-30 19:30,11.10,-12.30,95.69,0
2013-12-30 20:00,10.30,-12.30,87.97,0
2013-12-30 20:30,9.20,-12.10,94.14,0
2013-12-30 21:00,10.50,-12.10,86.94,0
2013-12-30 21:30,7.20,-12.00,82.31,0
2013-12-30 22:00,6.40,-12.00,94.14,0
2013-12-30 22:30,5.70,-12.10,85.40,0
2013-12-30 23:00,6.20,-12.00,89.51,0
2013-12-30 23:30,5.90,-12.10,90.54,0
2013-12-31 00:00,2.00,-10.70,156.91,0
2013-12-31 00:30,5.70,-11.80,160.51,0
2013-12-31 01:00,6.60,-12.50,174.91,0
2013-12-31 01:30,5.70,-13.10,171.31,0
2013-12-31 02:00,3.10,-12.60,161.54,0
2013-12-31 02:30,2.10,-11.30,151.76,0
2013-12-31 03:00,0.20,-9.60,88.48,0
2013-12-31 03:30,3.50,-11.60,158.96,0
2013-12-31 04:00,4.90,-12.50,166.17,0
2013-12-31 04:30,4.10,-11.90,151.25,0
2013-12-31 05:00,0.60,-10.60,87.97,0
2013-12-31 05:30,5.10,-11.20,110.09,0
2013-12-31 06:00,8.60,-13.00,92.60,0
2013-12-31 06:30,15.80,-14.10,91.06,0
2013-12-31 07:00,14.80,-15.50,88.48,0
2013-12-31 07:30,11.10,-15.40,94.14,0
2013-12-31 08:00,12.70,-15.20,92.09,0
2013-12-31 08:30,16.60,-14.90,95.69,0
2013-12-31 09:00,12.90,-14.60,94.14,0
2013-12-31 09:30,13.50,-14.50,95.17,0
2013-12-31 10:00,11.90,-14.50,97.74,0
2013-12-31 10:30,11.50,-14.40,99.29,0
2013-12-31 11:00,12.90,-14.40,101.35,0
2013-12-31 11:30,12.10,-14.40,96.72,0
2013-12-31 12:00,13.50,-14.50,99.80,0
2013-12-31 12:30,13.80,-14.20,100.83,0
2013-12-31 13:00,15.80,-14.00,99.29,0
2013-12-31 13:30,11.50,-13.70,101.86,0
2013-12-31 14:00,11.30,-13.30,97.74,0
2013-12-31 14:30,12.90,-13.30,100.83,0
2013-12-31 15:00,11.30,-13.00,98.77,0
2013-12-31 15:30,10.50,-12.80,96.20,0
2013-12-31 16:00,9.80,-12.70,99.29,0
2013-12-31 16:30,10.70,-12.40,97.23,0
2013-12-31 17:00,11.10,-12.80,95.17,0
2013-12-31 17:30,11.70,-12.80,99.80,0
2013-12-31 18:00,10.30,-12.70,96.72,0
2013-12-31 18:30,9.80,-12.60,93.11,0
2013-12-31 19:00,11.70,-14.20,77.68,0
2013-12-31 19:30,11.10,-14.80,81.28,0
2013-12-31 20:00,9.80,-14.70,96.20,0
2013-12-31 20:30,9.60,-14.80,75.11,0
2013-12-31 21:00,8.80,-15.20,72.02,0
2013-12-31 21:30,8.60,-15.40,77.17,0
2013-12-31 22:00,9.20,-15.50,78.20,0
2013-12-31 22:30,6.60,-15.40,77.68,0
2013-12-31 23:00,4.10,-15.50,83.34,0
2013-12-31 23:30,3.10,-15.30,39.10,0
2014-01-01 00:00,2.90,-15.30,60.70,0
2014-01-01 00:30,2.50,-15.40,62.76,0
2014-01-01 01:00,1.80,-15.60,20.58,0
2014-01-01 01:30,0.60,-15.40,170.80,0
2014-01-01 02:00,3.10,-15.30,175.94,0
2014-01-01 02:30,4.50,-15.40,170.28,0
2014-01-01 03:00,5.30,-15.50,168.22,0
2014-01-01 03:30,5.70,-15.40,168.74,0
2014-01-01 04:00,3.70,-15.30,174.91,0
2014-01-01 04:30,2.10,-14.90,183.14,0
2014-01-01 05:00,2.00,-14.30,50.93,0
2014-01-01 05:30,5.10,-15.30,80.77,0
2014-01-01 06:00,6.20,-15.90,83.34,0
2014-01-01 06:30,5.90,-16.40,84.88,0
2014-01-01 07:00,2.90,-16.00,81.80,0
2014-01-01 07:30,0.60,-16.10,102.89,0
2014-01-01 08:00,0.80,-15.60,31.90,0
2014-01-01 08:30,2.50,-16.50,30.35,0
2014-01-01 09:00,3.90,-16.90,6.69,0
2014-01-01 09:30,4.10,-17.00,181.08,0
2014-01-01 10:00,1.20,-14.20,143.02,0
2014-01-01 10:30,3.10,-12.80,94.14,0
2014-01-01 11:00,1.80,-13.60,108.55,0
2014-01-01 11:30,13.80,-13.60,100.83,0
2014-01-01 12:00,14.40,-13.50,101.35,0
2014-01-01 12:30,12.90,-13.00,102.37,0
2014-01-01 13:00,14.60,-13.50,100.32,0
2014-01-01 13:30,14.00,-13.70,101.86,0
2014-01-01 14:00,16.40,-13.60,103.40,0
2014-01-01 14:30,19.10,-13.70,99.29,0
2014-01-01 15:00,12.50,-13.30,103.92,0
2014-01-01 15:30,17.60,-13.30,107.00,0
2014-01-01 16:00,12.10,-12.80,113.69,0
2014-01-01 16:30,12.90,-12.50,100.32,0
2014-01-01 17:00,14.00,-12.60,112.15,0
2014-01-01 17:30,19.10,-12.50,106.49,0
2014-01-01 18:00,17.90,-12.50,103.40,0
2014-01-01 18:30,13.70,-12.40,105.98,0
2014-01-01 19:00,10.50,-12.40,100.83,0
2014-01-01 19:30,13.10,-12.40,104.43,0
2014-01-01 20:00,16.40,-12.40,107.00,0
2014-01-01 20:30,19.90,-12.50,104.43,0
2014-01-01 21:00,16.00,-12.40,102.89,0
2014-01-01 21:30,19.50,-12.40,102.89,0
2014-01-01 22:00,24.20,-12.10,109.06,0
2014-01-01 22:30,18.10,-12.30,104.43,0
2014-01-01 23:00,17.70,-12.40,105.98,0
2014-01-01 23:30,22.00,-12.40,103.40,0
2014-01-02 00:00,16.00,-12.30,100.83,0
2014-01-02 00:30,18.30,-12.40,100.83,0
2014-01-02 01:00,25.50,-12.50,103.40,0
2014-01-02 01:30,17.60,-12.60,97.74,0
2014-01-02 02:00,25.90,-12.30,104.43,0
2014-01-02 02:30,20.50,-12.10,105.46,0
2014-01-02 03:00,21.10,-12.50,97.23,0
2014-01-02 03:30,17.90,-12.80,101.35,0
2014-01-02 04:00,17.00,-12.60,103.40,0
2014-01-02 04:30,24.00,-12.70,102.37,0
2014-01-02 05:00,25.90,-12.90,100.83,0
2014-01-02 05:30,24.60,-12.80,102.89,0
2014-01-02 06:00,28.30,-12.90,104.43,0
2014-01-02 06:30,26.90,-12.90,103.40,0
2014-01-02 07:00,23.20,-13.00,101.35,0
2014-01-02 07:30,24.40,-12.90,103.40,0
2014-01-02 08:00,29.10,-12.80,102.37,0
2014-01-02 08:30,28.90,-12.60,102.89,0
