Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2009-04-01 20:00,4.30,-0.80,25.21,0
2009-04-01 20:05,5.70,-0.80,22.64,0
2009-04-01 20:10,3.70,-0.70,25.21,0
2009-04-01 20:15,4.50,-0.80,23.66,0
2009-04-01 20:20,4.30,-0.80,30.35,0
2009-04-01 20:25,3.70,-0.90,24.69,0
2009-04-01 20:30,4.10,-0.90,25.21,0
2009-04-01 20:35,4.30,-0.90,27.27,0
2009-04-01 20:40,4.10,-0.90,25.21,0
2009-04-01 20:45,4.90,-0.90,25.21,0
2009-04-01 20:50,4.10,-1.00,23.66,0
2009-04-01 20:55,4.10,-1.00,21.09,0
2009-04-01 21:00,5.10,-1.00,22.12,0
2009-04-01 21:05,4.30,-1.10,26.24,0
2009-04-01 21:10,5.70,-1.10,29.84,0
2009-04-01 21:15,5.50,-1.00,23.15,0
2009-04-01 21:20,4.10,-1.10,18.01,0
2009-04-01 21:25,4.50,-1.10,18.52,0
2009-04-01 21:30,6.00,-1.20,17.49,0
2009-04-01 21:35,6.40,-1.30,20.58,0
2009-04-01 21:40,4.90,-1.30,19.55,0
2009-04-01 21:45,4.90,-1.40,16.46,0
2009-04-01 21:50,6.60,-1.40,21.09,0
2009-04-01 21:55,5.50,-1.50,18.52,0
2009-04-01 22:00,5.90,-1.50,22.12,0
2009-04-01 22:05,5.10,-1.40,26.75,0
2009-04-01 22:10,5.70,-1.40,20.58,0
2009-04-01 22:15,4.50,-1.60,32.41,0
2009-04-01 22:20,4.90,-1.50,31.38,0
2009-04-01 22:25,5.50,-1.50,24.18,0
2009-04-01 22:30,5.30,-1.60,23.66,0
2009-04-01 22:35,6.00,-1.70,27.27,0
2009-04-01 22:40,4.90,-1.80,26.75,0
2009-04-01 22:45,3.70,-1.80,31.38,0
2009-04-01 22:50,3.10,-1.70,21.61,0
2009-04-01 22:55,3.50,-1.70,24.69,0
2009-04-01 23:00,4.50,-1.80,23.66,0
2009-04-01 23:05,3.70,-1.80,26.24,0
2009-04-01 23:10,3.10,-1.80,28.29,0
2009-04-01 23:15,2.50,-1.90,40.13,0
2009-04-01 23:20,2.90,-1.90,39.61,0
2009-04-01 23:25,2.90,-1.80,31.38,0
2009-04-01 23:30,2.50,-2.10,21.09,0
2009-04-01 23:35,2.90,-2.20,25.72,0
2009-04-01 23:40,3.70,-2.30,30.87,0
2009-04-01 23:45,4.30,-1.90,30.35,0
2009-04-01 23:50,2.90,-1.90,28.29,0
2009-04-01 23:55,3.50,-2.00,43.73,0
2009-04-02 00:00,3.30,-1.80,33.95,0
2009-04-02 00:05,3.50,-1.90,42.18,0
2009-04-02 00:10,3.10,-1.90,37.04,0
2009-04-02 00:15,2.50,-2.00,36.01,0
2009-04-02 00:20,3.70,-2.10,36.01,0
2009-04-02 00:25,4.10,-1.90,31.90,0
2009-04-02 00:30,5.30,-1.90,30.87,0
2009-04-02 00:35,4.50,-1.90,40.64,0
2009-04-02 00:40,4.10,-2.00,40.64,0
2009-04-02 00:45,3.50,-2.00,36.01,0
2009-04-02 00:50,3.70,-2.00,40.13,0
2009-04-02 00:55,3.90,-2.00,38.58,0
2009-04-02 01:00,4.90,-1.90,30.35,0
2009-04-02 01:05,5.90,-1.80,22.64,0
2009-04-02 01:10,4.90,-1.80,19.55,0
2009-04-02 01:15,6.00,-1.70,20.58,0
2009-04-02 01:20,5.70,-1.70,26.24,0
2009-04-02 01:25,5.70,-1.70,29.32,0
2009-04-02 01:30,6.40,-1.70,37.04,0
2009-04-02 01:35,4.30,-1.90,39.61,0
2009-04-02 01:40,4.90,-1.80,32.92,0
2009-04-02 01:45,4.70,-1.50,35.50,0
2009-04-02 01:50,5.30,-1.60,21.61,0
2009-04-02 01:55,6.60,-1.60,22.64,0
2009-04-02 02:00,6.00,-1.60,25.21,0
2009-04-02 02:05,5.90,-1.60,34.47,0
2009-04-02 02:10,5.90,-1.70,32.41,0
2009-04-02 02:15,5.90,-1.60,28.29,0
2009-04-02 02:20,7.80,-1.50,28.29,0
2009-04-02 02:25,6.60,-1.50,30.87,0
2009-04-02 02:30,7.40,-1.30,29.32,0
2009-04-02 02:35,7.00,-1.40,30.87,0
2009-04-02 02:40,6.40,-1.40,34.98,0
2009-04-02 02:45,7.60,-1.30,23.66,0
2009-04-02 02:50,5.50,-1.40,26.24,0
2009-04-02 02:55,5.50,-1.40,28.81,0
2009-04-02 03:00,7.00,-1.50,29.84,0
2009-04-02 03:05,6.60,-1.50,33.44,0
2009-04-02 03:10,6.00,-1.60,34.47,0
2009-04-02 03:15,5.30,-1.60,32.41,0
