Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1962-05-01 06:00,-12.20,,2.57,110
1962-05-01 09:00,-12.10,,2.57,120
1962-05-01 12:00,-13.10,,5.14,140
1962-05-01 15:00,-14.30,,5.66,130
1962-05-01 18:00,-12.60,,5.66,140
1962-05-01 21:00,-14.90,,2.57,110
1962-05-02 00:00,-14.50,,1.54,110
1962-05-02 03:00,-10.50,,2.57,80
1962-05-02 06:00,-10.30,,0.00,0
1962-05-02 09:00,-10.70,,3.09,90
1962-05-02 12:00,-11.00,,5.14,90
1962-05-02 15:00,-11.60,,3.09,90
1962-05-02 18:00,-10.10,,1.54,90
1962-05-02 21:00,-9.40,,3.60,90
1962-05-03 00:00,-7.70,,1.03,60
1962-05-03 03:00,-8.60,,2.57,90
1962-05-03 06:00,-7.10,,0.00,0
1962-05-03 09:00,-7.70,,0.00,0
1962-05-03 12:00,-7.20,,0.00,0
1962-05-03 15:00,-7.50,,2.57,350
1962-05-03 18:00,-7.30,,2.57,120
1962-05-03 21:00,-6.90,,0.00,0
1962-05-04 00:00,-7.30,,0.00,0
1962-05-04 03:00,-7.20,,3.60,100
1962-05-04 06:00,-5.50,,0.00,0
1962-05-04 09:00,-3.50,,2.57,140
1962-05-04 12:00,-3.00,,3.60,180
1962-05-04 15:00,-2.70,,6.17,160
1962-05-04 18:00,-4.30,,2.57,350
1962-05-04 21:00,-5.20,,2.57,20
1962-05-05 00:00,-5.40,,2.57,30
1962-05-05 03:00,-5.60,,4.12,350
1962-05-05 06:00,-5.90,,2.57,350
1962-05-05 09:00,-7.10,,0.00,0
1962-05-05 12:00,-6.10,,2.57,120
1962-05-05 15:00,1.40,,20.58,10
1962-05-05 18:00,0.20,,20.58,10
1962-05-05 21:00,0.70,,20.58,10
1962-05-06 00:00,1.10,,5.14,10
1962-05-06 03:00,0.70,,5.14,130
1962-05-06 06:00,1.80,,6.17,140
1962-05-06 09:00,2.80,,11.32,20
1962-05-06 12:00,8.40,,15.43,360
1962-05-06 15:00,6.70,,4.12,360
1962-05-06 18:00,4.60,,20.58,360
1962-05-06 21:00,4.60,,22.64,360
1962-05-07 00:00,1.60,,15.43,360
1962-05-07 03:00,-0.10,,23.15,360
1962-05-07 06:00,-1.00,,20.58,360
1962-05-07 09:00,-0.70,,18.01,360
1962-05-07 12:00,-2.00,,15.43,360
1962-05-07 15:00,-2.10,,11.32,360
1962-05-07 18:00,-1.20,,10.29,360
1962-05-07 21:00,-1.20,,14.40,360
1962-05-08 00:00,-2.50,,7.72,360
1962-05-08 03:00,-2.30,,10.29,320
1962-05-08 06:00,-2.60,,10.29,330
1962-05-08 09:00,-2.10,,7.72,320
1962-05-08 12:00,-2.60,,9.26,350
1962-05-08 15:00,-1.80,,3.09,20
1962-05-08 18:00,-1.80,,4.63,340
1962-05-08 21:00,-0.50,,8.23,360
1962-05-09 00:00,-0.90,,8.75,350
1962-05-09 03:00,-0.50,,8.23,360
1962-05-09 06:00,-2.40,,3.60,120
1962-05-09 09:00,-2.70,,2.57,50
1962-05-09 12:00,-3.20,,3.60,110
1962-05-09 15:00,-2.00,,2.57,40
1962-05-09 18:00,-2.70,,0.00,0
1962-05-09 21:00,-3.30,,9.26,110
1962-05-10 00:00,-3.10,,5.66,100
1962-05-10 03:00,-3.20,,6.17,120
1962-05-10 06:00,-5.40,,11.32,120
1962-05-10 09:00,-6.60,,10.29,120
1962-05-10 12:00,-7.60,,8.75,120
1962-05-10 15:00,-8.50,,9.77,130
1962-05-10 18:00,-5.00,,12.35,120
1962-05-10 21:00,-3.90,,0.00,0
1962-05-11 00:00,0.60,,0.00,0
1962-05-11 03:00,-3.30,,3.09,120
1962-05-11 06:00,-2.70,,3.60,100
1962-05-11 09:00,-6.10,,10.29,120
1962-05-11 12:00,-7.20,,6.17,110
1962-05-11 15:00,-7.80,,4.12,90
1962-05-11 18:00,-4.50,,0.00,0
1962-05-11 21:00,-4.20,,0.00,0
1962-05-12 00:00,-4.00,,0.00,0
1962-05-12 03:00,-4.70,,1.03,100
1962-05-12 06:00,-3.70,,0.00,0
1962-05-12 09:00,-2.90,,0.00,0
1962-05-12 12:00,-3.00,,0.00,0
1962-05-12 15:00,-3.50,,0.00,0
1962-05-12 18:00,-3.10,,0.00,0
1962-05-12 21:00,-3.20,,1.54,90
1962-05-13 00:00,-2.50,,0.00,0
1962-05-13 03:00,-2.10,,0.00,0
1962-05-13 06:00,-4.80,,3.09,100
1962-05-13 09:00,-4.40,,6.17,120
1962-05-13 12:00,-5.50,,5.14,100
1962-05-13 15:00,-6.10,,3.60,110
1962-05-13 18:00,-6.60,,5.14,100
1962-05-13 21:00,-6.60,,5.14,110
1962-05-14 00:00,-6.40,,3.60,120
1962-05-14 03:00,-7.80,,2.57,90
1962-05-14 06:00,-9.60,,0.00,0
1962-05-14 09:00,-8.70,,4.12,300
1962-05-14 12:00,-6.40,,3.09,350
1962-05-14 15:00,-6.60,,4.12,360
1962-05-14 18:00,-6.30,,4.12,350
1962-05-14 21:00,-6.70,,4.12,350
1962-05-15 00:00,-6.80,,3.09,330
1962-05-15 03:00,-7.80,,8.23,130
1962-05-15 06:00,-8.30,,0.00,0
1962-05-15 09:00,-8.00,,3.60,140
1962-05-15 12:00,-8.10,,0.00,0
1962-05-15 15:00,-8.30,,0.00,0
1962-05-15 18:00,-6.00,,0.00,0
1962-05-15 21:00,-4.40,,1.03,140
1962-05-16 00:00,-3.90,,3.60,200
1962-05-16 03:00,-3.30,,1.03,100
1962-05-16 06:00,-2.70,,0.00,0
1962-05-16 09:00,-1.10,,7.72,90
