Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1987-02-01 12:00,-8.70,895.00,6.84,113
1987-02-01 15:00,-6.80,897.00,5.86,113
1987-02-01 18:00,-8.50,900.00,6.84,113
1987-02-01 21:00,-9.50,898.00,4.89,113
1987-02-02 03:00,-14.00,892.40,8.90,113
1987-02-02 04:00,-13.50,891.90,10.44,113
1987-02-02 05:00,-14.20,891.70,9.67,113
1987-02-02 06:00,-14.20,891.50,8.33,135
1987-02-02 07:00,-13.70,891.10,8.90,135
1987-02-02 08:00,-13.10,891.00,8.80,113
1987-02-02 09:00,-12.60,891.00,10.44,90
1987-02-02 10:00,-12.10,890.70,11.52,113
1987-02-02 11:00,-11.40,890.90,10.44,113
1987-02-02 12:00,-11.00,890.80,12.40,113
1987-02-02 13:00,-10.60,890.60,12.30,113
1987-02-02 14:00,-10.60,890.70,13.12,113
1987-02-02 15:00,-10.50,890.70,11.32,90
1987-02-02 16:00,-10.80,890.70,12.81,90
1987-02-02 17:00,-10.70,890.80,11.94,90
1987-02-02 18:00,-10.70,890.60,11.42,90
1987-02-02 19:00,-10.70,890.60,11.63,90
1987-02-02 20:00,-10.50,890.50,10.96,113
1987-02-02 21:00,-10.50,890.40,9.77,113
1987-02-02 22:00,-10.60,890.40,11.32,113
1987-02-02 23:00,-11.00,890.40,11.16,113
1987-02-03 00:00,-11.20,890.70,10.44,113
1987-02-03 01:00,-11.40,890.60,10.65,113
1987-02-03 02:00,-11.70,890.80,10.96,113
1987-02-03 03:00,-12.20,891.00,8.80,113
1987-02-03 04:00,-12.00,891.20,8.80,113
1987-02-03 05:00,-12.00,891.10,9.98,113
1987-02-03 06:00,-12.00,891.30,10.19,113
1987-02-03 07:00,-11.40,891.80,8.59,113
1987-02-03 08:00,-11.10,892.10,9.67,90
1987-02-03 09:00,-10.40,892.30,9.11,90
1987-02-03 10:00,-10.20,892.20,9.98,113
1987-02-03 11:00,-9.80,892.40,10.19,90
1987-02-03 12:00,-9.80,892.50,9.31,90
1987-02-03 13:00,-9.50,892.80,7.05,90
1987-02-03 14:00,-8.30,892.80,9.36,90
1987-02-03 15:00,-8.00,893.00,8.39,90
1987-02-03 16:00,-8.30,893.10,7.05,90
1987-02-03 17:00,-8.20,893.30,5.66,68
1987-02-03 18:00,-8.40,893.30,4.32,90
1987-02-03 19:00,-9.10,893.10,3.81,90
1987-02-03 20:00,-10.10,893.10,3.34,113
1987-02-03 21:00,-11.50,892.90,3.34,135
1987-02-03 22:00,-13.00,892.90,3.81,135
1987-02-03 23:00,-14.00,892.90,6.38,158
1987-02-04 00:00,-14.30,892.80,5.86,158
1987-02-04 01:00,-15.10,892.70,6.84,158
1987-02-04 02:00,-15.70,892.50,7.41,158
1987-02-04 03:00,-16.00,892.60,7.72,135
1987-02-04 04:00,-15.90,892.50,7.72,135
1987-02-04 05:00,-15.30,892.50,8.39,135
1987-02-04 06:00,-15.40,892.50,8.39,135
1987-02-04 07:00,-14.40,892.50,6.94,135
1987-02-04 08:00,-12.70,892.30,8.23,113
1987-02-04 09:00,-11.30,892.10,10.19,113
1987-02-04 10:00,-10.60,892.00,10.34,113
1987-02-04 11:00,-9.90,892.10,12.81,113
1987-02-04 12:00,-9.30,892.30,12.81,113
1987-02-04 13:00,-8.90,892.40,12.40,113
1987-02-04 14:00,-8.50,892.50,12.60,113
1987-02-04 15:00,-8.30,892.50,11.52,113
1987-02-04 16:00,-8.20,892.20,10.96,113
1987-02-04 17:00,-8.20,891.80,11.06,113
1987-02-04 18:00,-8.50,891.60,10.44,113
1987-02-04 19:00,-8.90,891.20,9.88,113
1987-02-04 20:00,-9.40,891.00,9.77,113
1987-02-04 21:00,-10.60,891.20,8.13,113
1987-02-04 22:00,-11.80,891.10,7.92,113
1987-02-04 23:00,-12.70,891.30,7.92,135
1987-02-05 00:00,-13.40,891.00,8.23,113
1987-02-05 01:00,-14.50,890.90,7.82,135
1987-02-05 02:00,-14.80,890.70,8.13,135
1987-02-05 03:00,-15.30,890.50,7.92,135
1987-02-05 04:00,-15.80,890.50,8.39,135
1987-02-05 05:00,-15.80,890.30,8.59,135
1987-02-05 06:00,-15.10,889.90,9.00,135
1987-02-05 07:00,-14.30,889.50,8.69,135
1987-02-05 08:00,-13.00,889.40,9.21,135
1987-02-05 09:00,-11.40,889.40,9.00,113
1987-02-05 10:00,-10.70,889.50,10.44,113
1987-02-05 11:00,-10.20,889.30,11.06,113
1987-02-05 12:00,-9.70,889.10,10.85,113
1987-02-05 13:00,-9.20,,10.29,113
1987-02-05 14:00,-8.60,888.90,7.82,113
1987-02-05 15:00,-8.40,888.60,8.13,113
1987-02-05 16:00,-8.40,888.40,8.69,90
1987-02-05 17:00,-8.40,888.40,8.13,90
1987-02-05 18:00,-8.50,888.30,7.15,90
1987-02-05 19:00,-9.30,888.30,5.30,68
1987-02-05 20:00,-10.70,888.30,4.32,113
1987-02-05 21:00,-11.70,888.40,4.78,113
1987-02-05 22:00,-12.40,888.60,5.56,113
1987-02-05 23:00,-13.10,888.80,7.05,113
1987-02-06 00:00,-14.80,889.20,6.17,113
1987-02-06 01:00,-15.60,889.30,6.64,135
1987-02-06 02:00,-15.50,889.50,7.25,113
1987-02-06 03:00,-16.20,889.30,7.15,135
1987-02-06 04:00,-16.30,889.40,7.61,135
1987-02-06 05:00,-15.10,889.30,8.23,113
1987-02-06 06:00,-13.50,889.10,10.34,113
1987-02-06 07:00,-13.30,889.40,8.23,113
1987-02-06 08:00,-12.00,889.10,13.48,113
1987-02-06 09:00,-11.20,889.20,14.46,113
