Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1980-04-01 12:00,-13.40,957.70,0.00,0
1980-04-01 18:00,-14.40,959.90,2.57,180
1980-04-02 00:00,-13.80,960.50,0.00,0
1980-04-02 06:00,-14.80,960.30,0.00,0
1980-04-02 12:00,-14.60,957.90,0.00,0
1980-04-02 18:00,-14.50,955.60,0.00,0
1980-04-03 00:00,-16.20,955.50,0.00,0
1980-04-03 06:00,-16.80,957.10,0.00,0
1980-04-03 12:00,-17.10,960.30,0.00,0
1980-04-03 18:00,-16.40,963.30,0.00,0
1980-04-04 00:00,-14.40,963.90,2.57,160
1980-04-04 06:00,-18.30,965.60,0.00,0
1980-04-04 12:00,-16.80,966.00,0.00,0
1980-04-04 18:00,-17.20,966.00,1.54,140
1980-04-05 00:00,-17.20,966.10,0.00,0
1980-04-05 06:00,-19.40,966.50,0.00,0
1980-04-05 12:00,-20.20,968.30,0.00,0
1980-04-05 18:00,-21.00,969.30,0.00,0
1980-04-06 00:00,-23.60,969.50,0.00,0
1980-04-06 06:00,-20.70,969.60,0.00,0
1980-04-06 12:00,-18.80,968.70,0.00,0
1980-04-06 18:00,-17.20,968.50,0.00,0
1980-04-07 00:00,-16.90,966.70,0.00,0
1980-04-07 06:00,-16.20,964.30,6.17,110
1980-04-07 12:00,-15.40,964.30,2.57,200
1980-04-07 18:00,-17.40,964.30,2.57,140
1980-04-08 00:00,-19.10,964.00,2.57,160
1980-04-08 06:00,-18.60,961.30,3.60,200
1980-04-08 12:00,-20.30,959.50,9.26,160
1980-04-08 18:00,-16.00,957.10,0.00,0
1980-04-09 00:00,-14.80,956.00,0.00,0
1980-04-09 06:00,-15.00,956.30,10.29,50
1980-04-09 12:00,-13.80,957.60,0.00,0
1980-04-09 18:00,-10.60,957.90,3.09,70
1980-04-10 00:00,-10.20,958.40,17.49,90
1980-04-10 06:00,-10.80,959.20,14.40,140
1980-04-10 12:00,-9.80,960.70,5.14,160
1980-04-10 18:00,-9.60,961.70,5.14,180
1980-04-11 00:00,-8.80,963.70,7.20,160
1980-04-11 06:00,-9.30,967.20,2.57,160
1980-04-11 12:00,-10.40,968.80,1.54,160
1980-04-11 18:00,-11.60,970.30,5.66,180
1980-04-12 00:00,-12.30,971.70,5.66,200
1980-04-12 06:00,-11.90,972.00,2.57,200
1980-04-12 12:00,-15.00,973.60,1.54,160
1980-04-12 18:00,-16.10,974.70,0.00,0
1980-04-13 00:00,-18.90,976.00,0.00,0
1980-04-13 06:00,-18.00,976.50,0.00,0
1980-04-13 12:00,-20.20,976.50,0.00,0
1980-04-13 18:00,-18.20,975.70,0.00,0
1980-04-14 00:00,-17.30,973.60,0.00,0
1980-04-14 06:00,-17.20,971.50,0.00,0
1980-04-14 12:00,-17.00,969.10,0.00,0
1980-04-14 18:00,-17.50,967.50,0.00,0
1980-04-15 00:00,-18.20,967.20,0.00,0
1980-04-15 06:00,-20.50,970.40,3.09,20
1980-04-15 12:00,-18.70,972.00,1.54,160
1980-04-15 18:00,-18.00,971.50,0.00,0
1980-04-16 00:00,-16.80,968.80,0.00,0
1980-04-16 12:00,-16.30,958.10,2.57,180
1980-04-16 18:00,-17.20,953.30,4.12,140
1980-04-17 00:00,-20.90,950.70,0.00,0
1980-04-17 06:00,-18.90,948.30,5.14,140
1980-04-17 12:00,-13.10,943.20,1.54,180
1980-04-17 18:00,-8.80,939.30,0.00,0
1980-04-18 00:00,-7.40,939.50,17.49,50
1980-04-18 06:00,-11.40,941.60,0.00,0
1980-04-18 12:00,-23.50,950.40,3.60,340
1980-04-18 18:00,-22.10,959.50,4.12,290
1980-04-19 00:00,-17.20,961.60,0.00,0
1980-04-19 06:00,-13.60,964.50,0.00,0
1980-04-19 12:00,-14.20,967.90,9.26,50
1980-04-19 18:00,-9.40,967.50,0.00,0
1980-04-20 00:00,-10.90,963.20,10.80,180
1980-04-20 06:00,-12.40,957.10,11.32,200
1980-04-20 12:00,-11.80,950.90,15.43,200
1980-04-20 18:00,-14.30,950.70,6.69,180
1980-04-21 00:00,-13.30,949.30,4.63,140
1980-04-21 06:00,-14.20,946.00,5.14,140
1980-04-21 12:00,-16.20,948.00,5.66,200
1980-04-21 18:00,-13.40,950.90,6.17,180
1980-04-22 00:00,-7.80,954.70,0.00,0
1980-04-22 06:00,-8.40,957.90,10.29,320
1980-04-22 12:00,-7.50,959.50,0.00,0
1980-04-22 18:00,-6.40,957.90,2.06,20
1980-04-23 00:00,-7.00,956.00,6.17,90
1980-04-23 06:00,-8.60,955.10,3.09,140
1980-04-23 12:00,-11.40,954.70,0.00,0
1980-04-23 18:00,-10.80,953.10,0.00,0
1980-04-24 00:00,-13.40,952.90,2.57,200
1980-04-24 06:00,-14.00,950.40,0.00,0
1980-04-24 12:00,-16.20,951.50,0.00,0
1980-04-24 18:00,-17.80,953.90,0.00,0
1980-04-25 00:00,-14.80,955.70,6.69,140
1980-04-25 06:00,-16.20,956.30,0.00,0
1980-04-25 12:00,-15.60,957.10,0.00,0
1980-04-25 18:00,-16.80,957.90,0.00,0
1980-04-26 00:00,-15.10,957.90,1.54,200
1980-04-26 06:00,-12.40,956.00,0.00,0
1980-04-26 12:00,-16.70,954.30,0.00,0
1980-04-26 18:00,-20.60,952.90,0.00,0
1980-04-27 00:00,-22.20,951.50,0.00,0
1980-04-27 06:00,-24.10,950.40,0.00,0
1980-04-27 12:00,-25.00,949.50,0.00,0
1980-04-27 18:00,-24.80,949.90,0.00,0
1980-04-28 00:00,-24.00,951.60,0.00,0
1980-04-28 06:00,-23.60,952.10,0.00,0
1980-04-28 12:00,-24.70,952.80,0.00,0
1980-04-28 18:00,-23.80,953.90,0.00,0
1980-04-29 00:00,-25.00,954.40,0.00,0
1980-04-29 06:00,-25.30,955.50,6.17,340
1980-04-29 12:00,-27.00,955.60,1.54,160
1980-04-29 18:00,-25.00,955.20,1.54,20
1980-04-30 00:00,-28.20,957.10,9.26,160
1980-04-30 06:00,-23.00,960.10,10.80,180
1980-04-30 12:00,-21.30,963.50,8.75,180
1980-04-30 18:00,-19.20,965.90,4.12,160
1980-05-01 00:00,-19.30,967.20,7.20,160
1980-05-01 06:00,-17.70,967.70,0.00,0
1980-05-01 12:00,-18.20,966.90,0.00,0
1980-05-01 18:00,-18.00,965.10,0.00,0
1980-05-02 00:00,-18.90,963.20,0.00,0
1980-05-02 06:00,-17.40,960.10,0.00,0
1980-05-02 12:00,-16.20,957.60,0.00,0
1980-05-02 18:00,-14.00,955.90,0.00,0
1980-05-03 00:00,-14.10,954.80,4.12,160
1980-05-03 06:00,-16.70,954.70,0.00,0
1980-05-03 12:00,-20.80,955.20,0.00,0
1980-05-03 18:00,-22.40,954.40,1.54,180
1980-05-04 00:00,-24.60,952.30,0.00,0
1980-05-04 06:00,-27.30,949.10,0.00,0
1980-05-04 12:00,-25.80,947.20,0.00,0
1980-05-04 18:00,-28.60,946.40,0.00,0
1980-05-05 00:00,-28.80,945.90,0.00,0
1980-05-05 06:00,-28.20,945.90,0.00,0
1980-05-05 12:00,-26.80,945.90,0.00,0
1980-05-05 18:00,-27.60,946.10,2.57,270
1980-05-06 00:00,-27.00,947.20,5.14,180
1980-05-06 06:00,-26.00,946.90,6.17,200
1980-05-06 12:00,-26.60,948.70,4.12,160
1980-05-06 18:00,-27.70,949.90,0.00,0
1980-05-07 00:00,-27.40,952.50,0.00,0
1980-05-07 06:00,-28.30,953.10,3.09,140
1980-05-07 12:00,-27.50,954.50,3.09,160
1980-05-07 18:00,-26.00,954.70,1.03,90
1980-05-08 00:00,-29.20,954.10,0.00,0
1980-05-08 06:00,-29.00,952.80,0.00,0
1980-05-08 12:00,-28.70,952.80,0.00,0
1980-05-08 18:00,-31.40,953.30,0.00,0
1980-05-09 00:00,-31.60,953.50,2.57,90
1980-05-09 06:00,-31.20,953.60,3.09,70
1980-05-09 12:00,-32.20,954.00,4.12,140
1980-05-09 18:00,-32.40,953.60,2.06,140
1980-05-10 00:00,-33.60,955.10,6.17,160
1980-05-10 06:00,-34.20,956.00,5.14,180
1980-05-10 12:00,-34.00,956.80,0.00,0
1980-05-10 18:00,-34.80,958.10,2.57,160
1980-05-11 00:00,-33.80,959.20,0.00,0
1980-05-11 06:00,-32.40,957.20,2.57,160
1980-05-11 12:00,-31.20,958.40,5.14,180
1980-05-11 18:00,-26.20,960.90,1.54,180
1980-05-12 00:00,-20.00,962.40,0.00,0
1980-05-12 06:00,-15.60,960.00,6.17,20
1980-05-12 12:00,-12.80,953.90,6.17,20
1980-05-12 18:00,-13.40,946.90,30.87,20
1980-05-13 00:00,-7.80,949.10,20.58,20
1980-05-13 06:00,-7.80,949.30,26.24,20
1980-05-13 12:00,-4.50,950.80,32.41,20
1980-05-13 18:00,-3.40,959.20,18.01,50
1980-05-14 00:00,-3.40,964.50,7.72,140
1980-05-14 06:00,-3.80,971.70,9.26,140
1980-05-14 12:00,-5.20,978.10,6.69,160
