Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1957-02-01 18:00,-15.10,985.20,15.43,180
1957-02-02 00:00,-17.50,985.50,15.43,180
1957-02-02 12:00,-15.70,985.60,7.72,180
1957-02-02 18:00,-12.50,985.30,10.29,180
1957-02-03 00:00,-18.50,985.30,10.29,180
1957-02-03 12:00,-14.60,988.40,2.57,140
1957-02-03 18:00,-12.40,989.10,2.57,140
1957-02-04 00:00,-16.40,988.70,2.57,140
1957-02-04 12:00,-14.70,988.50,5.14,140
1957-02-04 18:00,-8.50,988.50,0.00,0
1957-02-05 00:00,-4.40,988.40,7.72,360
1957-02-05 12:00,-5.00,987.10,7.72,360
1957-02-05 18:00,-5.10,986.90,9.26,360
1957-02-06 00:00,-6.00,987.20,7.72,360
1957-02-06 12:00,-4.10,988.30,4.12,360
1957-02-06 18:00,-2.80,988.70,0.00,0
1957-02-07 00:00,-5.30,989.20,0.00,0
1957-02-07 12:00,-8.80,989.70,7.72,180
1957-02-07 18:00,-8.50,990.10,7.72,180
1957-02-08 00:00,-9.90,990.80,7.72,180
1957-02-08 12:00,-10.50,995.70,,
1957-02-08 18:00,-10.00,995.30,,
1957-02-09 00:00,-10.90,998.30,,
1957-02-09 12:00,-12.40,1000.00,14.40,180
1957-02-09 18:00,-10.50,1001.50,12.86,180
1957-02-10 00:00,-5.60,1001.60,15.43,50
1957-02-10 12:00,-5.60,1001.60,15.43,50
1957-02-10 18:00,-5.20,1001.10,18.01,50
1957-02-11 00:00,-5.30,997.10,18.01,50
1957-02-11 12:00,-10.50,990.30,7.72,180
1957-02-11 18:00,-8.50,991.20,7.72,180
1957-02-12 00:00,-7.10,989.30,7.72,180
1957-02-12 12:00,-5.50,981.20,15.43,50
1957-02-12 18:00,-6.70,979.10,12.86,50
1957-02-13 00:00,-8.10,977.60,10.29,90
1957-02-13 12:00,-10.50,978.70,7.72,180
1957-02-13 18:00,-7.50,980.10,12.86,140
1957-02-14 00:00,-9.00,983.10,10.29,140
1957-02-14 12:00,-9.10,986.50,7.72,180
1957-02-14 18:00,-2.70,986.90,10.29,180
1957-02-15 00:00,-4.90,986.40,7.72,360
1957-02-15 12:00,-2.10,983.50,7.72,50
1957-02-15 18:00,-3.00,980.70,7.72,50
1957-02-16 00:00,-3.10,976.30,18.01,360
1957-02-16 12:00,-2.80,974.90,0.00,0
1957-02-16 18:00,-3.30,974.80,5.14,360
1957-02-17 00:00,-5.10,974.80,0.00,0
1957-02-17 12:00,-4.50,986.00,5.14,180
1957-02-17 18:00,-3.50,990.90,9.26,50
1957-02-18 00:00,-6.00,991.50,7.72,50
1957-02-18 12:00,-10.60,987.70,10.29,180
1957-02-18 18:00,-12.60,987.30,10.29,180
1957-02-19 00:00,-18.50,986.90,15.43,180
1957-02-19 12:00,-22.00,981.90,6.17,180
1957-02-19 18:00,-16.00,983.60,5.14,180
