Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1957-01-10 09:00,-10.00,819.80,1.34,45
1957-01-10 12:00,-13.90,819.20,2.68,23
1957-01-10 15:00,-10.00,819.50,5.35,45
1957-01-10 18:00,-12.20,819.20,4.01,360
1957-01-10 21:00,-11.10,819.20,4.48,360
1957-01-11 00:00,-13.90,819.20,5.81,45
1957-01-11 03:00,-10.60,818.80,7.15,360
1957-01-11 06:00,-11.10,,5.35,360
1957-01-11 09:00,-10.60,820.20,7.15,360
1957-01-11 12:00,-11.10,819.80,2.68,338
1957-01-11 15:00,-12.80,819.80,4.01,23
1957-01-11 18:00,-13.90,819.80,4.01,23
1957-01-11 21:00,-13.30,819.50,4.01,23
1957-01-12 00:00,-12.80,816.50,5.35,23
1957-01-12 03:00,-11.10,815.40,5.35,23
1957-01-12 06:00,-10.00,816.80,5.81,338
1957-01-12 09:00,-10.00,816.50,1.34,360
1957-01-12 12:00,-10.60,816.10,5.35,360
1957-01-12 15:00,-12.80,813.10,5.35,360
1957-01-12 18:00,-15.60,816.80,4.01,338
1957-01-12 21:00,-14.40,817.50,2.68,315
1957-01-13 00:00,-13.90,818.50,1.34,68
1957-01-13 03:00,-11.70,819.80,0.87,68
1957-01-13 06:00,-11.10,820.20,1.34,270
1957-01-13 09:00,-10.00,820.90,2.21,113
1957-01-13 12:00,-10.60,821.50,3.14,113
1957-01-13 15:00,-11.70,821.90,3.14,135
1957-01-13 18:00,-15.60,822.20,2.21,315
1957-01-13 21:00,-16.70,821.90,0.87,315
1957-01-14 00:00,-17.20,821.90,0.87,315
1957-01-14 03:00,-13.90,819.20,3.60,293
1957-01-14 06:00,-12.80,820.50,3.60,135
1957-01-14 09:00,-13.30,819.50,3.14,135
1957-01-14 12:00,-13.90,818.20,3.14,135
1957-01-14 15:00,-17.20,817.10,2.21,135
1957-01-14 18:00,-16.10,815.80,0.00,
1957-01-14 21:00,-19.40,815.10,0.00,
1957-01-15 00:00,-18.90,815.10,2.68,23
1957-01-15 03:00,-17.20,814.80,3.60,360
1957-01-15 06:00,-16.10,813.70,4.01,338
1957-01-15 09:00,-15.60,813.10,4.01,338
1957-01-15 12:00,-16.10,812.70,5.81,338
1957-01-15 15:00,-17.20,811.70,6.69,338
1957-01-15 18:00,-17.20,811.70,7.61,315
1957-01-15 21:00,-17.80,811.40,10.29,360
1957-01-16 00:00,-17.80,811.70,6.69,360
1957-01-16 03:00,-15.60,812.10,7.61,360
1957-01-16 06:00,-12.80,812.10,7.61,315
1957-01-16 09:00,-10.60,811.70,8.03,315
1957-01-16 12:00,-10.60,811.40,6.28,315
1957-01-16 15:00,-11.70,811.00,7.61,338
1957-01-16 18:00,-11.70,810.70,7.15,360
1957-01-16 21:00,-12.80,811.00,6.28,360
1957-01-17 00:00,-11.70,811.40,6.28,360
1957-01-17 03:00,-10.00,812.10,6.28,360
1957-01-17 06:00,-8.30,813.70,6.28,270
1957-01-17 09:00,-8.90,815.40,4.48,225
1957-01-17 12:00,-8.90,816.80,3.14,270
1957-01-17 15:00,-9.40,818.20,2.21,270
1957-01-17 18:00,-11.10,819.50,3.60,270
1957-01-17 21:00,-11.10,820.90,5.81,270
1957-01-18 00:00,-15.00,822.90,7.15,225
1957-01-18 03:00,-16.70,824.90,6.69,225
1957-01-18 06:00,-16.10,826.60,7.15,180
1957-01-18 09:00,-16.10,828.30,3.60,203
1957-01-18 12:00,-18.30,827.30,3.14,270
1957-01-18 15:00,-18.30,826.60,3.14,270
1957-01-18 18:00,-19.40,826.30,3.14,248
1957-01-18 21:00,-21.10,825.60,2.68,360
1957-01-19 00:00,-21.70,824.60,2.68,360
1957-01-19 03:00,-19.40,823.20,4.01,360
1957-01-19 06:00,-17.80,821.90,2.21,23
1957-01-19 09:00,-17.80,820.90,6.28,45
1957-01-19 12:00,-18.30,819.20,5.81,45
1957-01-19 15:00,-16.10,817.50,6.28,45
1957-01-19 18:00,-14.40,816.50,6.69,338
1957-01-19 21:00,-10.60,815.80,3.60,270
1957-01-20 00:00,-8.30,815.10,3.60,293
1957-01-20 03:00,-8.30,814.80,5.81,270
1957-01-20 06:00,-7.80,815.10,6.69,270
1957-01-20 09:00,-8.30,815.10,6.28,270
1957-01-20 12:00,-8.90,815.80,3.60,225
1957-01-20 15:00,-9.40,816.10,3.60,225
1957-01-20 18:00,-9.40,816.50,1.34,23
1957-01-20 21:00,-8.90,816.80,0.00,
1957-01-21 00:00,-8.30,816.50,0.00,
1957-01-21 03:00,-6.70,816.80,1.34,338
1957-01-21 06:00,-6.70,817.50,3.14,270
1957-01-21 09:00,-7.80,817.80,4.01,225
1957-01-21 12:00,-7.80,817.80,4.01,203
1957-01-21 15:00,-9.40,818.80,4.48,225
1957-01-21 18:00,-11.10,819.20,3.60,225
1957-01-21 21:00,-13.30,819.80,4.01,248
1957-01-22 00:00,-13.30,820.20,3.14,270
1957-01-22 03:00,-13.30,820.20,3.60,315
1957-01-22 06:00,-13.30,820.20,4.01,315
1957-01-22 09:00,-10.00,818.80,3.60,315
1957-01-22 12:00,-9.40,816.80,4.01,315
1957-01-22 15:00,-8.30,815.40,9.36,225
1957-01-22 18:00,-12.80,815.80,6.69,225
1957-01-22 21:00,-15.00,817.50,6.28,225
1957-01-23 00:00,-18.30,818.20,3.60,270
1957-01-23 03:00,-17.20,818.50,3.14,293
1957-01-23 06:00,-15.60,818.50,3.60,270
1957-01-23 09:00,-13.90,817.80,2.68,270
1957-01-23 12:00,-16.10,816.80,0.87,270
1957-01-23 15:00,-14.40,815.80,1.34,225
1957-01-23 18:00,-14.40,815.10,0.87,248
1957-01-23 21:00,-14.40,814.40,0.87,315
1957-01-24 00:00,-15.60,813.40,2.21,315
1957-01-24 03:00,-15.60,812.70,2.21,315
1957-01-24 06:00,-15.00,812.10,2.68,315
1957-01-24 09:00,-16.70,811.70,0.87,315
1957-01-24 12:00,-17.80,810.70,2.68,315
1957-01-24 15:00,-19.40,810.40,2.68,270
1957-01-24 18:00,-22.20,810.40,0.87,225
1957-01-24 21:00,-25.00,810.00,0.00,
1957-01-25 00:00,-25.00,810.00,2.68,90
1957-01-25 03:00,-21.10,810.40,2.21,135
1957-01-25 06:00,-20.00,810.70,4.48,180
1957-01-25 09:00,-20.00,811.00,3.14,158
1957-01-25 12:00,-20.60,811.00,5.35,135
1957-01-25 15:00,-22.80,811.00,6.28,180
1957-01-25 18:00,-22.80,811.70,2.68,225
1957-01-25 21:00,-23.30,812.10,1.34,180
1957-01-26 00:00,-22.80,811.70,2.21,180
1957-01-26 03:00,-21.70,812.10,1.34,225
1957-01-26 06:00,-20.60,812.70,2.21,203
1957-01-26 09:00,-20.60,812.70,0.87,203
1957-01-26 12:00,-20.00,812.10,0.87,45
1957-01-26 15:00,-23.90,811.70,2.68,45
1957-01-26 18:00,-29.40,809.00,3.14,45
1957-01-26 21:00,-26.70,807.00,3.60,45
1957-01-27 00:00,-24.40,803.90,10.29,45
1957-01-27 03:00,-22.20,801.60,11.16,45
1957-01-27 06:00,-20.60,801.20,10.29,360
1957-01-27 09:00,-19.40,799.20,7.15,360
1957-01-27 12:00,-21.70,798.80,3.14,23
1957-01-27 15:00,-22.20,798.80,6.69,23
1957-01-27 18:00,-24.40,799.20,9.36,23
1957-01-27 21:00,-20.60,799.90,11.16,360
1957-01-28 00:00,-20.00,800.50,11.63,360
1957-01-28 03:00,-18.30,801.20,13.84,360
1957-01-28 06:00,-17.80,802.60,12.96,360
1957-01-28 09:00,-17.20,803.90,12.96,360
1957-01-28 12:00,-16.70,804.30,12.50,23
1957-01-28 15:00,-18.30,805.30,11.16,23
1957-01-28 18:00,-20.00,806.60,10.29,23
1957-01-28 21:00,-18.90,806.60,11.16,45
1957-01-29 00:00,-18.90,806.60,11.16,45
1957-01-29 03:00,-17.80,806.60,12.96,23
1957-01-29 06:00,-17.80,806.60,11.63,23
1957-01-29 09:00,-17.20,806.60,13.84,23
1957-01-29 12:00,-17.80,807.00,12.96,23
1957-01-29 15:00,-19.40,807.30,10.75,23
1957-01-29 18:00,-18.90,808.30,9.83,360
1957-01-29 21:00,-18.30,809.00,9.83,360
