Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1989-01-01 03:00,0.30,978.10,3.04,337
1989-01-01 09:00,-0.30,978.10,4.48,22
1989-01-02 03:00,-2.40,984.30,8.03,360
1989-01-02 09:00,-0.60,987.10,8.59,360
1989-01-03 03:00,-1.70,979.30,20.11,90
1989-01-03 09:00,-0.40,979.40,24.64,90
1989-01-04 03:00,1.30,980.90,0.98,292
1989-01-04 09:00,0.40,979.70,5.56,180
1989-01-05 03:00,1.90,979.40,15.64,112
1989-01-05 09:00,4.70,982.10,,
1989-01-06 03:00,3.70,988.30,3.50,202
1989-01-06 09:00,6.00,990.50,0.98,202
1989-01-07 03:00,0.60,989.30,4.01,202
1989-01-07 09:00,2.70,987.00,2.06,180
1989-01-08 03:00,-0.10,985.10,6.53,22
1989-01-08 09:00,-0.10,984.90,4.99,22
1989-01-09 03:00,-1.30,986.20,4.48,22
1989-01-09 09:00,-0.40,986.90,4.01,247
1989-01-10 03:00,-0.20,988.20,4.01,180
1989-01-10 09:00,0.70,986.70,4.99,22
1989-01-11 03:00,2.20,973.10,13.12,90
1989-01-11 09:00,2.00,970.50,16.15,90
1989-01-12 03:00,2.10,981.50,0.51,180
1989-01-12 09:00,2.70,985.30,0.00,0
1989-01-13 03:00,1.90,990.90,2.06,202
1989-01-13 09:00,1.60,989.40,2.52,360
1989-01-14 03:00,0.30,988.60,2.52,225
1989-01-14 09:00,-0.80,988.00,0.98,270
1989-01-15 03:00,-1.00,990.40,4.48,22
1989-01-15 09:00,-0.70,991.20,4.01,22
1989-01-16 03:00,1.70,986.30,17.13,90
1989-01-16 09:00,3.30,985.90,13.12,90
1989-01-17 03:00,4.30,991.50,2.06,292
1989-01-17 09:00,1.90,992.50,3.04,360
1989-01-18 03:00,-1.00,987.30,4.48,360
1989-01-18 09:00,-1.30,986.70,3.50,360
1989-01-19 03:00,-1.20,991.40,6.53,22
1989-01-19 09:00,-0.10,993.30,2.06,202
1989-01-20 03:00,0.90,996.30,2.06,247
1989-01-20 09:00,-0.80,995.20,3.50,247
1989-01-21 03:00,0.50,982.30,18.11,90
1989-01-21 09:00,1.70,983.20,2.06,202
1989-01-22 03:00,-2.00,985.70,5.56,360
