Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1959-01-01 06:00,-1.70,,4.63,280
1959-01-01 09:00,-1.70,,4.12,330
1959-01-01 12:00,-1.10,,4.12,360
1959-01-01 15:00,0.00,,5.66,50
1959-01-01 18:00,1.70,,1.03,60
1959-01-01 21:00,0.60,,1.03,150
1959-01-02 00:00,0.00,,2.06,290
1959-01-02 03:00,-0.60,,2.06,320
1959-01-02 06:00,-0.60,,0.51,170
1959-01-02 09:00,-1.10,,7.72,230
1959-01-02 12:00,-1.10,,7.72,210
1959-01-02 15:00,-0.60,,7.20,220
1959-01-02 18:00,0.60,,9.77,220
1959-01-02 21:00,1.70,,9.26,240
1959-01-03 00:00,0.00,,8.23,230
1959-01-03 03:00,-1.10,,8.23,250
1959-01-03 06:00,-1.70,,9.26,230
1959-01-03 09:00,0.00,,8.75,230
1959-01-03 12:00,-1.10,,8.23,230
1959-01-03 15:00,1.70,,6.69,230
1959-01-03 18:00,2.20,,7.72,230
1959-01-03 21:00,1.10,,3.09,240
1959-01-04 00:00,0.60,,4.12,230
1959-01-04 03:00,-1.10,,0.00,0
1959-01-04 06:00,-1.10,,5.14,290
1959-01-04 09:00,0.00,,6.17,270
1959-01-04 12:00,0.00,,7.20,260
1959-01-04 15:00,1.10,,8.75,260
1959-01-04 18:00,0.00,,7.20,280
1959-01-04 21:00,1.10,,11.32,260
1959-01-05 00:00,0.60,,11.32,260
1959-01-05 03:00,0.00,,9.26,260
1959-01-05 06:00,0.00,,8.23,270
1959-01-05 09:00,1.70,,7.72,270
1959-01-05 12:00,1.10,,6.17,290
1959-01-05 15:00,1.10,,6.17,290
1959-01-05 18:00,1.10,,7.20,290
1959-01-05 21:00,0.00,,5.66,290
1959-01-06 00:00,0.00,,6.17,310
1959-01-06 03:00,0.00,,5.66,290
1959-01-06 06:00,1.10,,6.17,290
1959-01-06 09:00,0.00,,4.63,310
1959-01-06 12:00,0.60,,4.63,290
1959-01-06 15:00,2.80,,5.14,320
1959-01-06 18:00,3.30,,5.14,320
1959-01-06 21:00,2.80,,4.63,280
1959-01-07 00:00,1.10,,2.57,290
1959-01-07 03:00,-0.60,,4.12,300
1959-01-07 06:00,-1.10,,6.17,280
1959-01-07 09:00,-0.60,,5.66,290
1959-01-07 12:00,-0.60,,6.69,290
1959-01-07 15:00,-0.60,,7.72,280
1959-01-07 18:00,0.60,,7.72,270
1959-01-07 21:00,1.10,,8.23,240
1959-01-08 00:00,0.00,,8.23,250
1959-01-08 03:00,0.00,,6.69,250
1959-01-08 06:00,-0.60,,7.72,260
1959-01-08 09:00,0.00,,7.20,260
1959-01-08 12:00,0.00,,4.63,270
1959-01-08 15:00,0.00,,4.63,280
1959-01-08 18:00,0.00,,4.63,310
1959-01-08 21:00,-0.60,,8.23,70
1959-01-09 00:00,-0.60,,5.66,90
1959-01-09 03:00,-1.70,,5.66,90
1959-01-09 06:00,-1.10,,4.63,100
1959-01-09 09:00,-1.10,,2.06,280
1959-01-09 12:00,-0.60,,6.17,270
1959-01-09 15:00,1.10,,8.75,230
1959-01-09 18:00,1.10,,9.26,230
1959-01-09 21:00,1.70,,9.77,240
1959-01-10 00:00,0.00,,10.29,240
1959-01-10 03:00,-1.10,,9.26,250
1959-01-10 06:00,-1.70,,5.66,250
1959-01-10 09:00,-1.70,,6.17,250
1959-01-10 12:00,0.00,,5.14,290
1959-01-10 15:00,1.70,,4.12,290
1959-01-10 18:00,1.70,,2.57,360
1959-01-10 21:00,2.20,,5.66,300
1959-01-11 00:00,1.70,,5.14,320
1959-01-11 03:00,1.70,,6.69,330
1959-01-11 06:00,1.10,,7.72,330
1959-01-11 09:00,1.10,,6.69,320
1959-01-11 12:00,0.60,,6.17,270
1959-01-11 15:00,0.60,,9.26,240
1959-01-11 18:00,1.70,,13.38,240
1959-01-11 21:00,0.60,,13.38,240
1959-01-12 00:00,-0.60,,11.83,240
1959-01-12 03:00,-1.10,,12.86,260
1959-01-12 06:00,-1.10,,12.86,240
1959-01-12 09:00,-0.60,,12.86,230
1959-01-12 12:00,0.60,,13.38,230
1959-01-12 15:00,1.10,,12.35,230
1959-01-12 18:00,1.70,,11.83,240
1959-01-12 21:00,1.70,,9.26,230
1959-01-13 00:00,1.10,,6.17,270
1959-01-13 03:00,-0.60,,3.60,280
1959-01-13 06:00,-0.60,,2.06,340
1959-01-13 09:00,0.00,,2.57,350
1959-01-13 12:00,0.00,,3.60,80
1959-01-13 15:00,-0.60,,10.80,60
1959-01-13 18:00,-1.10,,10.80,70
1959-01-13 21:00,-1.10,,15.95,70
1959-01-14 00:00,-1.10,,12.86,70
1959-01-14 03:00,-0.60,,8.75,70
1959-01-14 06:00,-0.60,,7.72,70
1959-01-14 09:00,-0.60,,6.17,50
1959-01-14 12:00,0.00,,3.60,330
1959-01-14 15:00,0.60,,4.63,330
1959-01-14 18:00,1.10,,4.12,10
1959-01-14 21:00,0.60,,4.63,110
1959-01-15 00:00,0.00,,4.12,50
1959-01-15 03:00,-0.60,,3.09,260
1959-01-15 06:00,-0.60,,4.12,270
1959-01-15 09:00,0.00,,5.14,300
1959-01-15 12:00,0.00,,4.12,290
1959-01-15 15:00,1.70,,4.63,280
1959-01-15 18:00,2.80,,5.14,240
1959-01-15 21:00,1.70,,8.75,240
1959-01-16 00:00,-0.60,,9.77,250
1959-01-16 03:00,-1.10,,9.26,260
1959-01-16 06:00,-1.10,,9.26,260
1959-01-16 09:00,-0.60,,3.09,300
1959-01-16 12:00,0.00,,5.66,270
1959-01-16 15:00,0.60,,4.63,260
1959-01-16 18:00,0.60,,4.63,240
1959-01-16 21:00,0.60,,5.14,270
1959-01-17 00:00,0.00,,5.14,260
1959-01-17 03:00,-0.60,,5.14,260
1959-01-17 06:00,-1.10,,5.66,250
1959-01-17 09:00,-1.10,,4.12,270
1959-01-17 12:00,-0.60,,2.06,290
1959-01-17 15:00,0.60,,0.51,60
1959-01-17 18:00,1.10,,7.20,50
1959-01-17 21:00,1.10,,6.17,80
1959-01-18 00:00,-0.60,,7.72,100
1959-01-18 03:00,-1.70,,6.17,90
1959-01-18 06:00,-1.10,,1.54,90
1959-01-18 09:00,-0.60,,0.00,0
1959-01-18 12:00,1.10,,1.03,280
1959-01-18 15:00,1.70,,3.09,300
1959-01-18 18:00,1.10,,3.09,300
1959-01-18 21:00,0.60,,3.09,260
1959-01-19 00:00,-1.10,,1.03,300
1959-01-19 03:00,-1.10,,1.03,310
1959-01-19 06:00,-1.70,,3.09,320
1959-01-19 09:00,-1.10,,2.57,320
1959-01-19 12:00,-0.60,,3.09,270
1959-01-19 15:00,0.00,,3.09,190
1959-01-19 18:00,0.60,,3.09,100
1959-01-19 21:00,-0.60,,3.09,110
1959-01-20 00:00,0.00,,4.12,80
1959-01-20 03:00,-0.60,,4.63,60
1959-01-20 06:00,-0.60,,8.23,50
