Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1985-12-02 18:00,0.00,,0.00,
1985-12-02 21:00,0.00,,0.00,
1985-12-03 00:00,0.00,,0.00,
1985-12-03 03:00,0.00,,0.00,
1985-12-03 06:00,0.00,,0.00,
1985-12-03 09:00,0.00,,0.00,
1985-12-03 12:00,0.00,,0.00,
1985-12-03 15:00,0.00,,0.00,
1985-12-03 18:00,0.00,,0.00,
1985-12-03 21:00,0.00,,0.00,
1985-12-04 00:00,0.00,,0.00,
1985-12-04 03:00,0.00,,0.00,
1985-12-04 06:00,0.00,,0.00,
1985-12-04 09:00,0.00,,0.00,
1985-12-04 12:00,0.00,,0.00,
1985-12-04 15:00,0.00,,0.00,
1985-12-04 18:00,0.00,,0.00,
1985-12-04 21:00,0.00,,0.00,
1985-12-05 00:00,0.00,,0.00,
1985-12-05 03:00,0.00,,0.00,
1985-12-05 06:00,0.00,,0.00,
1985-12-05 09:00,0.00,,0.00,
1985-12-05 12:00,0.00,,0.00,
1985-12-05 15:00,0.00,,0.00,
1985-12-05 18:00,0.00,,0.00,
1985-12-05 21:00,0.00,,0.00,
1985-12-06 00:00,0.00,,0.00,
1985-12-06 03:00,0.00,,0.00,
1985-12-06 06:00,0.00,,0.00,
1985-12-06 09:00,0.00,,0.00,
1985-12-06 12:00,0.00,,0.00,
1985-12-06 15:00,0.00,,0.00,
1985-12-06 18:00,0.00,,0.00,
1985-12-06 21:00,0.00,,0.00,
1985-12-07 00:00,0.00,,0.00,
1985-12-07 03:00,0.00,,0.00,
1985-12-07 06:00,0.00,,0.00,
1985-12-07 09:00,0.00,,0.00,
1985-12-07 12:00,0.00,,0.00,
1985-12-07 15:00,0.00,,0.00,
1985-12-07 18:00,0.00,,0.00,
1985-12-07 21:00,0.00,,0.00,
1985-12-08 00:00,0.00,,0.00,
1985-12-08 03:00,0.00,,0.00,
1985-12-08 06:00,0.00,,0.00,
1985-12-08 09:00,0.00,,0.00,
1985-12-08 12:00,0.00,,0.00,
1985-12-08 15:00,0.00,,0.00,
1985-12-08 18:00,0.00,,0.00,
1985-12-08 21:00,0.00,,0.00,
1985-12-09 00:00,0.00,,0.00,
1985-12-09 03:00,0.00,,0.00,
1985-12-09 06:00,0.00,,0.00,
1985-12-09 09:00,0.00,,0.00,
1985-12-09 12:00,0.00,,0.00,
1985-12-09 15:00,0.00,,0.00,
1985-12-09 18:00,0.00,,0.00,
1985-12-09 21:00,0.00,,0.00,
1985-12-10 00:00,0.00,,0.00,
1985-12-10 03:00,0.00,,0.00,
1985-12-10 06:00,0.00,,0.00,
1985-12-10 09:00,0.00,,0.00,
1985-12-10 12:00,0.00,,0.00,
1985-12-10 15:00,0.00,,0.00,
1985-12-10 18:00,0.00,,0.00,
1985-12-10 21:00,0.00,,0.00,
1985-12-11 00:00,0.00,,0.00,
1985-12-11 03:00,0.00,,0.00,
1985-12-11 06:00,0.00,,0.00,
1985-12-11 09:00,0.00,,0.00,
1985-12-11 12:00,0.00,,0.00,
1985-12-11 15:00,0.00,,0.00,
1985-12-11 18:00,0.00,,0.00,
1985-12-11 21:00,0.00,,0.00,
1985-12-12 00:00,0.00,,0.00,
1985-12-12 03:00,0.00,,0.00,
1985-12-12 06:00,0.00,,0.00,
1985-12-12 09:00,0.00,,0.00,
1985-12-12 12:00,0.00,,0.00,
1985-12-12 15:00,0.00,,0.00,
1985-12-12 18:00,0.00,,0.00,
1985-12-12 21:00,0.00,,0.00,
1985-12-13 00:00,0.00,,0.00,
1985-12-13 03:00,0.00,,0.00,
1985-12-13 06:00,0.00,,0.00,
1985-12-13 09:00,0.00,,0.00,
1985-12-13 12:00,0.00,,0.00,
1985-12-13 15:00,0.00,,0.00,
1985-12-13 18:00,0.00,,0.00,
1985-12-13 21:00,0.00,,0.00,
1985-12-14 00:00,0.00,,0.00,
1985-12-14 03:00,0.00,,0.00,
