Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1985-01-01 18:00,7.00,,4.01,360
1985-01-02 00:00,2.40,,4.01,338
1985-01-02 06:00,,,,
1985-01-02 12:00,5.60,,2.98,360
1985-01-02 18:00,5.90,,6.02,45
1985-01-03 00:00,6.00,,5.04,23
1985-01-03 06:00,,,,
1985-01-03 12:00,5.20,990.50,6.02,23
1985-01-03 18:00,5.80,990.90,6.02,315
1985-01-04 00:00,3.80,994.30,2.98,338
1985-01-04 06:00,,,,
1985-01-04 12:00,0.80,987.60,9.05,135
1985-01-04 18:00,0.30,990.60,7.05,113
1985-01-05 00:00,1.20,998.60,9.05,293
1985-01-05 06:00,,,,
1985-01-05 12:00,2.20,1007.10,4.01,315
1985-01-05 18:00,9.80,1006.90,4.01,360
1985-01-06 00:00,5.40,999.00,4.01,135
1985-01-06 06:00,,,,
1985-01-06 12:00,1.30,991.70,11.01,135
1985-01-06 18:00,0.00,992.90,12.04,90
1985-01-07 00:00,-0.60,994.00,14.04,113
1985-01-07 06:00,,,,
1985-01-07 12:00,-0.60,996.50,10.03,158
1985-01-07 18:00,1.40,998.00,10.03,113
1985-01-08 00:00,0.40,998.20,9.05,113
1985-01-08 06:00,,,,
1985-01-08 12:00,0.90,994.00,5.04,68
1985-01-08 18:00,3.40,989.60,5.04,135
1985-01-09 00:00,1.80,984.40,4.01,90
1985-01-09 06:00,,,,
1985-01-09 12:00,0.80,982.50,10.03,135
1985-01-09 18:00,0.80,983.90,13.02,135
1985-01-10 00:00,-0.50,985.60,13.02,135
1985-01-10 06:00,,,,
1985-01-10 12:00,-0.60,988.50,13.02,135
1985-01-10 18:00,0.40,990.60,14.04,135
1985-01-11 00:00,-1.50,993.70,14.04,135
1985-01-11 06:00,,,,
1985-01-11 12:00,-0.50,1000.70,11.01,135
1985-01-11 18:00,1.30,1003.30,7.05,135
1985-01-12 00:00,-0.60,1004.50,2.01,90
1985-01-12 06:00,-1.60,,,
1985-01-12 12:00,2.30,1003.70,2.98,338
1985-01-12 18:00,0.60,1003.90,2.01,158
1985-01-13 00:00,0.70,1004.40,2.98,135
1985-01-13 06:00,-0.10,1003.20,,
1985-01-13 12:00,0.80,1002.50,5.04,135
1985-01-13 18:00,1.40,1001.30,6.02,90
1985-01-14 00:00,1.00,1000.80,5.04,90
1985-01-14 06:00,1.10,998.10,,
1985-01-14 12:00,0.30,995.10,6.02,90
1985-01-14 18:00,0.30,993.80,8.03,90
1985-01-15 00:00,0.30,992.50,10.03,90
1985-01-15 06:00,-0.50,991.80,,
1985-01-15 12:00,-0.90,991.70,11.01,90
1985-01-15 18:00,-0.60,994.30,11.01,90
1985-01-16 00:00,-0.50,997.20,6.02,90
1985-01-16 06:00,-1.30,998.90,,
1985-01-16 12:00,0.70,999.00,4.01,225
1985-01-16 18:00,3.80,999.00,4.01,293
1985-01-17 00:00,1.00,997.00,2.98,270
1985-01-17 06:00,-0.40,999.60,,
1985-01-17 12:00,0.80,999.70,2.98,360
1985-01-17 18:00,3.40,1001.00,5.04,45
1985-01-18 00:00,0.60,998.00,5.04,270
1985-01-18 06:00,0.90,999.50,,
1985-01-18 12:00,2.90,1001.30,2.98,225
1985-01-18 18:00,3.20,1002.00,6.02,270
1985-01-19 00:00,2.70,1001.20,5.04,338
1985-01-19 06:00,3.10,998.60,,
1985-01-19 12:00,5.20,996.30,8.03,23
1985-01-19 18:00,4.20,992.00,4.01,90
1985-01-20 00:00,4.50,987.40,5.04,90
1985-01-20 06:00,4.10,988.00,,
1985-01-20 12:00,5.60,989.50,2.98,338
1985-01-20 18:00,5.70,991.30,6.02,338
1985-01-21 00:00,3.10,992.10,4.01,270
1985-01-21 06:00,1.70,994.00,,
1985-01-21 12:00,3.80,996.60,5.04,270
1985-01-21 18:00,6.10,997.10,5.04,270
1985-01-22 00:00,3.30,996.70,5.04,338
1985-01-22 06:00,2.80,996.00,,
1985-01-22 12:00,3.20,995.00,5.04,315
1985-01-22 18:00,3.90,992.90,7.05,338
1985-01-23 00:00,3.20,988.80,5.04,338
1985-01-23 06:00,2.40,985.60,,
1985-01-23 12:00,2.90,987.70,5.04,293
1985-01-23 18:00,3.00,994.40,6.02,270
1985-01-24 00:00,2.00,997.90,4.01,293
1985-01-24 06:00,3.60,998.00,2.98,338
1985-01-24 12:00,8.20,997.40,10.03,23
1985-01-24 18:00,9.30,994.90,9.05,23
1985-01-25 00:00,6.60,988.50,14.04,360
1985-01-25 06:00,3.80,989.40,8.03,338
1985-01-25 12:00,3.80,996.40,12.04,293
1985-01-25 18:00,6.00,1002.00,6.02,293
1985-01-26 00:00,4.10,1002.20,12.04,315
1985-01-26 06:00,3.80,1002.00,8.03,338
1985-01-26 12:00,6.50,1000.00,7.05,338
1985-01-26 18:00,7.40,995.80,11.01,360
1985-01-27 00:00,3.50,996.30,7.05,315
1985-01-27 06:00,3.00,998.00,7.05,338
1985-01-27 12:00,4.10,996.60,11.01,338
1985-01-27 18:00,4.00,991.00,11.01,360
1985-01-28 00:00,1.80,1005.50,11.01,270
1985-01-28 06:00,2.50,1008.00,4.01,338
1985-01-28 12:00,3.60,1007.40,5.04,315
1985-01-28 18:00,8.50,1006.80,7.05,338
1985-01-29 00:00,7.10,1001.90,6.02,360
1985-01-29 06:00,3.50,997.00,16.05,315
1985-01-29 12:00,4.80,1001.80,15.02,315
