Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1988-05-01 23:00,-1.80,,5.56,
1988-05-02 00:00,-1.80,,5.56,
1988-05-02 06:00,-1.50,,6.53,
1988-05-02 12:00,0.30,,13.48,
1988-05-02 18:00,0.00,,7.05,
1988-05-03 00:00,-0.10,,14.35,
1988-05-03 06:00,-0.70,,9.31,
1988-05-03 12:00,-0.60,,7.92,
1988-05-03 18:00,-0.60,,2.52,
1988-05-04 00:00,-0.60,,8.03,
1988-05-04 06:00,0.40,,10.44,
1988-05-04 12:00,0.80,,10.55,
1988-05-04 18:00,0.20,,7.82,
1988-05-05 00:00,-0.50,,7.25,
1988-05-05 06:00,0.50,,10.75,
1988-05-05 12:00,0.90,,9.88,
1988-05-05 18:00,0.20,,11.42,
1988-05-06 00:00,-0.10,,8.13,
1988-05-06 06:00,-0.30,,11.83,
1988-05-06 12:00,-0.80,,11.42,
1988-05-06 18:00,-0.40,,6.84,
1988-05-07 00:00,0.10,,13.22,
1988-05-07 06:00,0.30,,13.89,
1988-05-07 12:00,0.60,,14.56,
1988-05-07 18:00,-1.50,,7.25,
1988-05-08 00:00,-5.00,,13.12,
1988-05-08 06:00,-6.40,,10.34,
1988-05-08 12:00,-6.30,,12.40,
1988-05-08 18:00,-5.40,,9.11,
1988-05-09 00:00,-5.10,,7.41,
1988-05-09 06:00,-4.80,,7.61,
1988-05-09 12:00,-7.60,,8.03,
1988-05-09 18:00,-7.20,,2.37,
1988-05-10 00:00,-5.50,,5.56,
1988-05-10 06:00,-3.20,,8.80,
1988-05-10 12:00,-2.00,,10.55,
1988-05-10 18:00,-0.20,,8.03,
1988-05-11 00:00,-1.20,,0.67,
1988-05-11 06:00,-0.50,,5.86,
1988-05-11 12:00,0.20,,12.04,
1988-05-11 18:00,0.70,,6.64,
1988-05-12 00:00,0.70,,8.59,
1988-05-12 06:00,-0.40,,7.05,
1988-05-12 12:00,-0.90,,9.11,
1988-05-12 18:00,-0.10,,9.77,
1988-05-13 00:00,-0.40,,3.81,
1988-05-13 06:00,-1.10,,1.85,
1988-05-13 12:00,-2.00,,1.39,
1988-05-13 18:00,-2.20,,2.47,
1988-05-14 00:00,-3.70,,4.42,
1988-05-14 06:00,-5.10,,3.14,
1988-05-14 12:00,-5.00,,3.34,
1988-05-14 18:00,-2.90,,0.77,
1988-05-15 00:00,-1.70,,5.66,
1988-05-15 06:00,-2.40,,1.95,
1988-05-15 12:00,-3.50,,1.65,
1988-05-15 18:00,-1.40,,1.65,
1988-05-16 00:00,-3.00,,3.60,
1988-05-16 06:00,-0.60,,7.72,
1988-05-16 12:00,1.10,,8.80,
1988-05-16 18:00,1.10,,11.32,
1988-05-17 00:00,0.50,,7.61,
1988-05-17 06:00,0.80,,10.75,
1988-05-17 12:00,2.50,,15.23,
1988-05-17 18:00,1.70,,13.68,
1988-05-18 00:00,0.30,,6.17,
1988-05-18 06:00,2.90,,8.33,
1988-05-18 12:00,3.20,,11.27,
1988-05-18 18:00,1.90,,8.23,
1988-05-19 00:00,3.50,,2.62,
1988-05-19 06:00,1.90,,8.23,
1988-05-19 12:00,-2.50,,10.85,
1988-05-19 18:00,-6.10,,10.75,
1988-05-20 00:00,-5.70,,12.30,
1988-05-20 06:00,-5.90,,9.98,
1988-05-20 12:00,-6.40,,8.33,
1988-05-20 18:00,-5.50,,6.38,
1988-05-21 00:00,-5.60,,4.99,
1988-05-21 06:00,-5.40,,6.94,
1988-05-21 12:00,-2.60,,6.17,
1988-05-21 18:00,-1.80,,6.64,
1988-05-22 00:00,-2.70,,3.91,
1988-05-22 06:00,-2.90,,4.68,
1988-05-22 12:00,-3.90,,3.91,
1988-05-22 18:00,-3.30,,2.83,
1988-05-23 00:00,-3.00,,1.75,
1988-05-23 06:00,-2.30,,3.50,
1988-05-23 12:00,-3.80,,1.54,
1988-05-23 18:00,-3.90,,5.45,
1988-05-24 00:00,-5.50,,6.53,
1988-05-24 06:00,-5.70,,3.45,
1988-05-24 12:00,-6.20,,0.98,
1988-05-24 18:00,-5.00,,1.29,
