Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1956-03-09 06:00,-20.60,990.20,12.86,113
1956-03-09 12:00,-21.70,985.40,10.80,113
1956-03-09 18:00,-23.90,981.40,13.89,135
1956-03-10 00:00,-23.90,978.70,13.89,135
1956-03-10 06:00,-23.90,979.00,14.40,113
1956-03-10 12:00,-24.40,981.70,10.29,158
1956-03-10 18:00,-23.30,983.10,8.75,158
1956-03-11 00:00,-20.00,985.10,11.83,135
1956-03-11 06:00,-18.90,987.80,13.89,135
1956-03-11 12:00,-18.30,992.90,11.83,135
1956-03-11 18:00,-21.10,994.90,10.29,135
1956-03-12 00:00,-18.90,995.20,1.54,248
1956-03-12 06:00,-13.90,993.90,0.51,248
1956-03-12 12:00,-18.30,990.80,1.03,135
1956-03-12 18:00,-13.30,987.80,5.66,113
1956-03-13 00:00,-22.20,986.10,15.43,135
1956-03-13 06:00,-23.30,985.80,14.40,113
1956-03-13 12:00,-21.70,987.50,9.26,113
1956-03-13 18:00,-16.70,987.50,7.72,113
1956-03-14 00:00,-14.40,987.80,9.26,135
1956-03-14 06:00,-12.80,987.50,9.26,135
1956-03-14 12:00,-13.30,988.50,11.83,135
1956-03-14 18:00,-15.60,987.80,11.32,113
1956-03-15 00:00,-18.90,987.80,12.86,113
1956-03-15 06:00,-20.00,987.80,10.29,113
1956-03-15 12:00,-18.30,987.10,12.86,135
1956-03-15 18:00,-20.60,986.10,16.46,158
1956-03-16 00:00,-18.90,985.80,15.43,113
1956-03-16 06:00,-17.80,986.10,8.23,113
1956-03-16 12:00,-17.80,986.10,10.29,135
1956-03-16 18:00,-18.30,987.80,5.14,135
1956-03-17 00:00,-17.80,989.10,8.75,113
1956-03-17 06:00,-17.80,988.80,9.26,135
1956-03-17 12:00,-18.30,989.10,11.32,315
1956-03-17 18:00,-20.60,989.80,8.75,315
1956-03-18 00:00,-18.90,989.80,7.72,113
1956-03-18 06:00,-18.30,988.50,5.66,113
1956-03-18 12:00,-18.90,987.80,7.72,113
1956-03-18 18:00,-22.20,987.10,10.29,113
1956-03-19 00:00,-20.60,986.80,10.29,135
1956-03-19 06:00,-18.90,986.10,9.26,180
1956-03-19 12:00,-20.00,986.10,11.83,158
1956-03-19 18:00,-20.00,985.10,9.26,180
1956-03-20 00:00,-18.90,985.80,9.77,180
1956-03-20 06:00,-20.60,984.10,10.80,158
1956-03-20 12:00,-18.90,980.70,14.40,203
1956-03-20 18:00,-16.70,978.70,7.72,135
1956-03-21 00:00,-18.30,975.60,7.72,113
1956-03-21 06:00,-18.90,974.90,6.17,135
1956-03-21 12:00,-18.30,973.20,6.17,135
1956-03-21 18:00,-13.30,970.20,5.14,135
1956-03-22 00:00,-11.70,969.80,17.49,203
1956-03-22 06:00,-9.40,969.20,9.77,180
1956-03-22 12:00,-11.10,965.40,12.86,158
1956-03-22 18:00,-10.60,963.10,3.60,113
1956-03-23 00:00,-8.30,961.00,11.83,203
1956-03-23 06:00,-8.30,961.00,19.55,225
1956-03-23 12:00,-8.30,963.10,17.49,203
1956-03-23 18:00,-7.80,966.10,14.40,225
1956-03-24 00:00,-6.10,966.50,8.75,248
1956-03-24 06:00,-7.80,965.80,9.26,203
1956-03-24 12:00,-10.00,971.90,18.52,203
1956-03-24 18:00,-15.60,980.00,12.35,180
1956-03-25 00:00,-13.30,983.70,10.80,180
1956-03-25 06:00,-12.80,985.10,9.26,158
1956-03-25 12:00,-13.30,983.10,6.69,113
1956-03-25 18:00,-7.80,980.70,11.32,68
1956-03-26 00:00,-7.80,979.70,12.86,68
1956-03-26 06:00,-9.40,980.70,11.83,68
1956-03-26 12:00,-10.00,983.70,7.20,360
1956-03-26 18:00,-14.40,986.80,10.29,203
1956-03-27 00:00,-12.80,987.80,6.69,158
1956-03-27 06:00,-13.90,986.10,12.35,203
1956-03-27 12:00,-13.90,981.00,2.06,158
1956-03-27 18:00,-11.70,971.90,11.83,23
1956-03-28 00:00,-12.80,968.20,0.00,0
1956-03-28 06:00,-16.70,969.80,4.12,158
1956-03-28 12:00,-19.40,977.00,8.23,135
1956-03-28 18:00,-17.80,982.00,11.83,180
1956-03-29 00:00,-18.30,986.80,6.69,180
1956-03-29 06:00,-17.80,986.80,4.63,135
1956-03-29 12:00,-18.30,983.70,5.66,113
1956-03-29 18:00,-21.70,980.70,10.29,113
1956-03-30 00:00,-21.10,980.30,9.77,113
1956-03-30 06:00,-24.40,978.70,10.80,113
1956-03-30 12:00,-23.30,978.00,7.20,113
1956-03-30 18:00,-23.30,976.60,7.72,90
1956-03-31 00:00,-23.90,976.60,1.03,90
1956-03-31 06:00,-24.40,977.30,0.51,68
1956-03-31 12:00,-21.10,972.90,7.72,68
1956-03-31 18:00,-20.00,970.20,11.83,23
1956-04-01 00:00,-21.70,972.90,4.63,225
1956-04-01 06:00,-20.60,975.90,9.26,113
1956-04-01 12:00,-22.80,977.00,6.17,90
1956-04-01 18:00,-25.00,979.00,3.60,23
1956-04-02 00:00,-24.40,979.70,12.35,135
1956-04-02 06:00,-27.80,982.40,13.38,113
1956-04-02 12:00,-26.10,985.80,11.32,158
1956-04-02 18:00,-23.90,987.50,12.86,135
1956-04-03 00:00,-24.40,989.50,10.80,135
1956-04-03 06:00,-23.30,990.80,11.32,135
1956-04-03 12:00,-23.30,992.50,8.23,135
1956-04-03 18:00,-25.00,993.20,4.12,90
1956-04-04 00:00,-24.40,993.60,7.20,135
1956-04-04 06:00,-24.40,993.20,8.75,90
1956-04-04 12:00,-23.30,988.80,0.00,0
1956-04-04 18:00,-20.60,983.70,11.32,360
1956-04-05 00:00,-19.40,978.70,12.86,68
1956-04-05 06:00,-19.40,974.60,5.14,68
1956-04-05 12:00,-23.30,972.90,8.23,135
1956-04-05 18:00,-23.30,976.30,12.86,135
