Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1987-11-17 00:00,-1.00,,3.09,280
1987-11-17 06:00,-2.00,,8.23,330
1987-11-17 12:00,-2.80,,5.14,90
1987-11-17 18:00,-0.20,,2.57,220
1987-11-18 18:00,0.40,,7.20,270
1987-11-19 00:00,-1.40,,13.38,270
1987-11-19 06:00,-2.10,,10.29,270
1987-11-23 12:00,-0.90,,7.20,60
1987-11-23 18:00,0.00,,3.09,40
1987-11-24 00:00,1.20,,5.14,300
1987-11-24 06:00,0.40,,6.17,350
1987-11-24 12:00,0.40,,5.14,270
1987-11-24 18:00,2.20,,3.09,250
1987-11-25 06:00,-0.80,,4.12,30
1987-11-25 12:00,0.20,,7.72,270
1987-11-26 12:00,-0.60,,7.72,270
1987-11-26 18:00,0.40,,7.20,260
1987-11-27 18:00,0.30,,5.14,270
1987-11-28 00:00,-0.80,,5.14,330
1987-11-28 06:00,-4.20,,2.06,230
1987-11-28 12:00,-1.80,,1.03,200
1987-11-28 18:00,0.40,,10.29,80
1987-11-29 00:00,-1.30,,0.51,0
1987-11-29 06:00,-3.00,,10.29,100
1987-11-29 12:00,-1.80,,13.38,100
1987-11-29 18:00,0.40,,10.29,80
1987-11-30 00:00,-0.40,,3.09,180
1987-11-30 06:00,-1.00,,4.12,240
1987-12-01 12:00,0.00,,0.00,0
1987-12-01 18:00,1.20,,0.51,210
1987-12-02 00:00,-1.00,,2.06,210
1987-12-02 06:00,-3.60,,1.03,240
1987-12-02 12:00,-1.20,,1.03,240
1987-12-02 18:00,-0.50,,0.00,0
1987-12-03 00:00,0.10,,9.26,140
1987-12-03 06:00,-0.10,,2.06,230
1987-12-03 12:00,-0.20,,0.00,0
1987-12-03 18:00,0.00,,2.57,30
1987-12-04 00:00,0.00,,1.54,240
1987-12-04 06:00,0.00,,10.29,270
1987-12-04 12:00,0.20,,0.00,0
1987-12-08 12:00,-0.90,,10.29,320
1987-12-08 18:00,-0.80,,9.26,280
1987-12-09 00:00,-0.80,,7.72,
1987-12-09 12:00,-1.00,,3.09,180
1987-12-09 18:00,-0.80,,3.09,40
1987-12-10 00:00,0.00,,11.32,230
1987-12-10 06:00,-2.00,,15.43,170
1987-12-10 12:00,-1.00,,15.43,170
1987-12-10 18:00,0.20,,10.29,220
1987-12-11 00:00,0.00,,11.32,230
1987-12-11 06:00,-1.20,,9.26,190
1987-12-11 12:00,-0.20,,0.00,0
1987-12-11 18:00,1.00,,2.06,200
1987-12-12 00:00,-0.80,,8.23,180
1987-12-12 06:00,-1.00,,5.14,150
1987-12-12 12:00,0.60,,5.14,230
1987-12-13 00:00,-0.20,,10.29,180
1987-12-13 06:00,-2.00,,10.29,180
1987-12-13 12:00,-0.20,,5.14,140
1987-12-13 18:00,-0.40,,9.26,90
1987-12-14 00:00,-0.60,,7.72,90
1987-12-14 06:00,-1.20,,15.43,
1987-12-14 12:00,0.00,,9.26,180
1987-12-15 00:00,1.00,,0.51,270
1987-12-15 06:00,-1.20,,1.03,270
1987-12-15 12:00,-0.80,,1.03,200
1987-12-15 18:00,1.80,,0.51,230
1987-12-16 00:00,0.20,,1.03,270
1987-12-16 05:00,0.20,,1.03,270
1987-12-16 06:00,-0.40,,1.54,90
1987-12-17 18:00,0.40,,2.06,90
1987-12-18 00:00,-0.10,,2.06,220
1987-12-18 06:00,-0.40,,3.09,270
1987-12-18 12:00,-0.20,,0.00,0
1987-12-18 18:00,2.00,,1.54,270
1987-12-19 00:00,0.00,,1.03,270
1987-12-19 06:00,-1.00,,1.03,270
1987-12-19 12:00,0.30,,1.54,270
1987-12-19 18:00,0.40,,1.03,30
1987-12-20 00:00,-0.20,,0.00,0
1987-12-20 06:00,-1.10,,1.03,360
1987-12-20 12:00,-0.60,,2.57,90
1987-12-20 18:00,0.50,,7.72,90
1987-12-21 00:00,0.10,,20.58,40
1987-12-21 06:00,-0.40,,20.58,10
1987-12-21 12:00,0.80,,10.29,140
1987-12-21 18:00,1.40,,4.63,270
1987-12-23 18:00,2.80,,1.03,30
1987-12-24 00:00,2.60,,1.03,10
1987-12-24 06:00,1.20,,10.29,50
1987-12-24 12:00,1.40,,9.26,50
1987-12-24 18:00,2.00,,1.03,120
1987-12-25 00:00,0.20,,5.14,260
1987-12-25 12:00,1.00,,5.66,280
1987-12-26 00:00,0.60,,8.75,260
1987-12-26 06:00,-0.20,,9.26,270
1987-12-26 12:00,0.80,,9.26,260
1987-12-26 18:00,3.00,,8.75,260
1987-12-27 00:00,1.60,,3.09,260
1987-12-27 06:00,-0.20,,4.12,260
1987-12-27 12:00,2.00,,2.06,260
1987-12-27 18:00,2.80,,1.54,270
1987-12-28 00:00,1.00,,1.54,270
1987-12-28 06:00,-1.00,,1.54,230
1987-12-28 12:00,0.00,,1.54,180
1987-12-28 18:00,1.20,,0.00,0
1987-12-29 06:00,-0.60,,1.03,150
1987-12-29 12:00,1.20,,0.51,200
1987-12-29 18:00,0.00,,4.12,360
1987-12-30 06:00,2.00,,18.52,20
1987-12-30 12:00,0.80,,10.29,20
1987-12-30 18:00,2.40,,4.63,60
1987-12-31 00:00,1.60,,5.14,90
1987-12-31 06:00,1.40,,0.51,40
1987-12-31 12:00,0.40,,1.03,40
1987-12-31 18:00,,,0.51,0
1988-01-01 00:00,1.00,,1.54,190
1988-01-01 06:00,0.60,,2.57,160
1988-01-01 12:00,1.20,,0.00,0
1988-01-01 18:00,1.00,,0.00,0
1988-01-02 00:00,0.80,,1.54,90
1988-01-02 06:00,0.40,,1.54,50
1988-01-02 12:00,2.20,,3.09,90
1988-01-02 18:00,3.00,,6.69,160
1988-01-03 00:00,2.60,,12.86,160
1988-01-03 06:00,2.60,,8.75,170
1988-01-03 12:00,3.00,,10.29,140
1988-01-04 00:00,1.40,,23.15,180
1988-01-04 06:00,0.60,,25.72,180
1988-01-04 12:00,0.80,,20.58,180
1988-01-04 18:00,3.00,,30.87,180
1988-01-05 00:00,1.60,,30.87,180
1988-01-05 06:00,2.20,,25.72,180
1988-01-05 12:00,2.80,,30.87,180
1988-01-05 18:00,-0.10,,20.58,160
1988-01-06 00:00,1.00,,20.58,170
1988-01-06 06:00,0.00,,15.43,160
1988-01-06 12:00,1.70,,10.29,170
1988-01-06 18:00,1.20,,1.54,50
1988-01-07 12:00,0.00,,0.51,10
1988-01-07 18:00,2.80,,0.00,0
1988-01-08 00:00,0.60,,1.03,20
1988-01-08 06:00,0.00,,0.00,0
1988-01-08 12:00,-0.20,,2.06,20
1988-01-08 18:00,-0.30,,2.06,60
1988-01-09 00:00,0.20,,1.54,210
1988-01-10 00:00,-0.80,,0.00,0
1988-01-10 06:00,-1.00,,0.00,0
1988-01-10 12:00,-1.00,,1.54,10
1988-01-10 18:00,-0.40,,2.06,10
1988-01-11 00:00,-0.30,,0.00,0
1988-01-11 06:00,-0.80,,0.00,0
1988-01-11 18:00,-1.00,,0.51,310
1988-01-12 00:00,,,1.54,310
1988-01-12 06:00,-1.00,,0.00,0
1988-01-12 12:00,0.80,,12.86,230
1988-01-13 00:00,1.00,,4.12,220
1988-01-13 06:00,-0.20,,2.06,220
1988-01-13 12:00,2.00,,4.12,220
1988-01-13 18:00,3.40,,6.17,210
1988-01-14 00:00,1.20,,6.17,250
1988-01-14 06:00,0.80,,4.12,210
1988-01-14 12:00,0.40,,4.12,240
1988-01-14 18:00,1.30,,2.06,260
1988-01-15 00:00,0.30,,0.00,0
1988-01-15 06:00,-0.20,,4.12,140
1988-01-15 12:00,0.30,,12.86,140
1988-01-15 18:00,0.80,,19.55,110
1988-01-16 00:00,0.00,,,0
1988-01-16 06:00,-0.80,,22.64,90
1988-01-16 12:00,0.80,,20.58,90
