Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
1980-03-31 18:00,-12.90,965.30,29.32,
1980-04-01 00:00,-12.40,960.10,29.32,
1980-04-01 06:00,-11.30,950.70,29.32,
1980-04-01 12:00,-9.40,949.90,5.86,
1980-04-01 18:00,-10.30,957.60,0.00,0
1980-04-02 00:00,-8.40,964.40,3.91,
1980-04-02 06:00,-10.90,969.60,2.93,
1980-04-02 12:00,-15.30,971.80,4.89,
1980-04-02 18:00,-13.70,970.90,0.00,0
1980-04-03 00:00,-13.10,972.70,3.91,
1980-04-03 06:00,-15.40,968.90,5.86,
1980-04-03 12:00,-12.80,966.90,7.82,
1980-04-03 18:00,-10.90,961.50,21.50,90
1980-04-04 00:00,-10.40,959.70,27.37,
1980-04-04 06:00,-10.90,962.50,21.50,
1980-04-04 12:00,-12.70,959.10,29.32,
1980-04-04 18:00,-10.20,960.40,27.37,
1980-04-05 00:00,-7.40,959.50,25.41,
1980-04-05 06:00,-6.80,961.00,19.55,
1980-04-05 12:00,-10.40,962.80,29.32,
1980-04-05 18:00,-6.40,966.00,19.55,
1980-04-06 00:00,-5.40,969.10,22.48,
1980-04-06 06:00,-3.10,969.50,24.44,
1980-04-06 12:00,-2.10,970.90,19.55,
1980-04-06 18:00,-2.40,970.30,17.59,
1980-04-07 00:00,-2.20,971.70,19.55,
1980-04-07 06:00,-1.90,972.10,18.57,
1980-04-07 12:00,-3.40,971.70,18.57,
1980-04-07 18:00,-2.30,971.50,17.59,
1980-04-08 00:00,-2.00,968.10,22.48,
1980-04-08 06:00,-2.20,965.20,18.57,
1980-04-08 12:00,-2.40,961.50,15.64,
1980-04-08 18:00,-1.30,959.50,9.77,
1980-04-09 00:00,-2.30,960.70,7.82,
1980-04-09 06:00,-1.80,959.70,15.64,
1980-04-09 12:00,-2.00,963.50,16.62,
1980-04-09 18:00,-2.40,965.10,15.64,
1980-04-10 00:00,-1.80,968.10,14.66,
1980-04-10 06:00,-3.30,967.90,4.89,
1980-04-10 12:00,-3.40,967.00,13.68,
1980-04-10 18:00,-2.30,966.60,15.64,
1980-04-11 00:00,-2.40,968.70,14.66,
1980-04-11 06:00,-3.30,963.90,23.46,
1980-04-11 12:00,-4.10,965.00,27.37,
1980-04-11 18:00,-2.20,967.20,22.48,
1980-04-12 00:00,-2.50,968.30,17.59,
1980-04-12 06:00,-2.80,967.80,18.57,
1980-04-12 12:00,-2.70,972.20,20.53,
1980-04-12 18:00,-3.40,971.30,17.59,
1980-04-13 00:00,-3.60,972.30,14.66,
1980-04-13 06:00,-3.10,974.40,15.64,
1980-04-13 12:00,-3.90,974.70,19.55,
1980-04-13 18:00,-4.50,973.90,22.48,
1980-04-14 00:00,-4.10,975.70,17.59,
1980-04-14 06:00,-4.40,978.20,15.64,
1980-04-14 12:00,-4.10,980.00,20.53,
1980-04-14 18:00,-3.30,979.60,13.68,
1980-04-15 00:00,-3.20,977.20,16.62,
1980-04-15 06:00,-3.40,975.80,18.57,
1980-04-15 12:00,-2.70,973.40,13.68,
1980-04-15 18:00,-3.20,972.90,7.82,
1980-04-16 00:00,-3.00,972.60,4.89,
1980-04-16 06:00,-2.60,970.50,2.93,
1980-04-16 12:00,-3.20,969.60,4.89,
1980-04-16 18:00,-3.40,968.00,4.89,
1980-04-17 00:00,-2.80,966.60,0.00,0
1980-04-17 06:00,-3.30,961.00,2.93,
1980-04-17 12:00,-5.00,958.80,12.71,
1980-04-17 18:00,-6.30,956.70,17.59,
1980-04-18 00:00,-6.90,957.10,16.62,
1980-04-18 06:00,-7.40,957.60,18.57,
1980-04-18 12:00,-8.10,957.60,23.46,
1980-04-18 18:00,-8.40,960.50,22.48,
1980-04-19 00:00,-10.40,962.90,23.46,
1980-04-19 06:00,-10.10,963.20,29.32,
1980-04-19 12:00,-12.40,961.00,40.08,
1980-04-19 18:00,-12.60,961.70,38.12,
1980-04-20 00:00,-12.80,959.90,37.14,
1980-04-20 06:00,-13.00,957.30,39.10,
1980-04-20 12:00,-15.40,950.80,40.08,
1980-04-20 18:00,-10.30,946.60,29.32,
1980-04-21 00:00,-12.30,955.00,9.77,
1980-04-21 06:00,-13.20,962.70,7.82,230
1980-04-21 12:00,-11.90,967.60,0.00,0
1980-04-21 18:00,-5.30,971.20,16.62,
1980-04-22 00:00,-6.90,967.20,19.55,
1980-04-22 06:00,-2.80,962.70,26.39,70
1980-04-22 12:00,-4.50,960.80,29.32,
1980-04-22 18:00,-4.10,958.20,28.35,
1980-04-23 00:00,-5.10,955.50,19.55,
1980-04-23 06:00,-5.80,954.30,20.53,70
1980-04-23 12:00,-6.40,953.00,18.57,
1980-04-23 18:00,-6.70,951.30,19.55,
1980-04-24 00:00,-7.10,952.80,17.59,
1980-04-24 06:00,-6.80,954.40,15.64,90
1980-04-24 12:00,-7.20,955.30,14.66,
1980-04-24 18:00,-6.90,958.90,12.71,
1980-04-25 00:00,-7.20,961.90,17.59,
1980-04-25 06:00,-7.60,964.40,17.59,90
1980-04-25 12:00,-8.40,965.00,15.64,
1980-04-25 18:00,-10.30,967.40,18.57,
1980-04-26 00:00,-10.70,969.40,21.50,
1980-04-26 06:00,-10.90,969.00,23.46,90
1980-04-26 12:00,-10.80,968.10,25.41,
1980-04-26 18:00,-11.70,966.30,24.44,
1980-04-27 00:00,-12.30,966.80,25.41,
1980-04-27 06:00,-12.50,967.90,16.62,90
1980-04-27 12:00,-14.30,967.40,0.00,0
1980-04-27 18:00,-12.80,969.70,0.00,0
1980-04-28 00:00,-11.70,971.10,2.93,
1980-04-28 06:00,-10.40,973.10,6.84,110
1980-04-28 12:00,-11.40,971.20,4.89,
1980-04-28 18:00,-10.60,969.80,4.89,
1980-04-29 00:00,-10.40,966.20,5.86,
1980-04-29 06:00,-13.10,964.80,6.84,210
1980-04-29 12:00,-13.40,963.50,4.89,
1980-04-29 18:00,-10.50,961.00,14.66,
1980-04-30 00:00,-10.00,960.10,19.55,
1980-04-30 06:00,-9.30,958.30,24.44,90
1980-04-30 12:00,-9.40,955.60,20.53,
1980-04-30 18:00,-10.10,953.40,18.57,
1980-05-01 00:00,-7.00,950.30,22.48,
1980-05-01 06:00,-5.80,948.10,19.55,
1980-05-01 12:00,-6.40,946.10,22.48,
1980-05-01 18:00,-8.40,948.80,20.53,
1980-05-02 00:00,-7.30,955.50,25.41,
1980-05-02 06:00,-9.30,960.30,22.48,
1980-05-02 12:00,-10.20,966.40,19.55,
1980-05-02 18:00,-7.60,971.00,15.64,
1980-05-03 00:00,-8.80,973.80,4.89,
1980-05-03 06:00,-6.80,976.20,4.89,
1980-05-03 12:00,-6.90,975.50,16.62,
1980-05-03 18:00,-6.00,977.60,16.62,
1980-05-04 00:00,-5.80,979.60,17.59,
1980-05-04 06:00,-7.10,978.60,21.50,
1980-05-04 12:00,-7.30,979.80,16.62,
1980-05-04 18:00,-8.00,979.90,19.55,
1980-05-05 00:00,-8.70,980.20,17.59,
1980-05-05 06:00,-7.70,979.20,19.55,
1980-05-05 12:00,-8.80,974.40,23.46,
1980-05-05 18:00,-9.30,974.40,27.37,
1980-05-06 00:00,-9.40,975.30,23.46,
1980-05-06 06:00,-9.40,978.70,18.57,
1980-05-06 12:00,-9.40,979.80,19.55,
1980-05-06 18:00,-9.70,981.00,20.53,
1980-05-07 00:00,-8.60,982.50,18.57,
1980-05-07 06:00,-7.60,983.20,17.59,
1980-05-07 12:00,-7.30,983.70,16.62,
