Dates,Temperature_(Celsius),Pressure_(hPa),Wind_Speed_(m/s),Wind_Direction
2014-01-28 01:30,23.00,-27.20,40.64,0
2014-01-28 02:00,23.20,-27.30,40.64,0
2014-01-28 02:30,24.80,-27.20,39.10,0
2014-01-28 03:00,18.90,-27.20,41.16,0
2014-01-28 03:30,28.10,-27.00,40.64,0
2014-01-28 04:00,20.30,-26.90,41.16,0
2014-01-28 04:30,20.70,-26.90,42.70,0
2014-01-28 05:00,24.60,-26.90,42.70,0
2014-01-28 05:30,28.30,-26.90,41.67,0
2014-01-28 06:00,30.00,-26.90,40.13,0
2014-01-28 06:30,25.50,-26.70,42.70,0
2014-01-28 07:00,27.30,-27.10,39.10,0
2014-01-28 07:30,27.50,-27.10,42.18,0
2014-01-28 08:30,32.80,-27.40,43.21,0
2014-01-28 09:00,26.70,-27.70,41.16,0
2014-01-28 09:30,25.90,-27.70,41.67,0
2014-01-28 10:00,30.60,-27.80,44.24,0
2014-01-28 10:30,26.50,-28.00,41.67,0
2014-01-28 11:00,28.30,-28.10,46.30,0
2014-01-28 11:30,26.30,-28.30,46.30,0
2014-01-28 12:30,21.60,-28.30,49.39,0
2014-01-28 13:00,18.70,-28.40,54.53,0
2014-01-28 13:30,25.90,-28.50,48.87,0
2014-01-28 14:00,23.00,-28.30,47.84,0
2014-01-28 14:30,24.00,-28.20,45.27,0
2014-01-28 15:00,25.70,-28.20,45.27,0
2014-01-28 15:30,23.60,-28.10,48.36,0
2014-01-28 16:00,21.50,-28.00,47.33,0
2014-01-28 16:30,23.40,-28.00,48.36,0
2014-01-28 17:00,24.40,-28.10,45.27,0
2014-01-28 17:30,23.80,-28.10,44.76,0
2014-01-28 18:30,23.00,-28.00,46.81,0
2014-01-28 19:00,21.10,-28.10,47.33,0
2014-01-28 19:30,23.20,-28.00,46.81,0
2014-01-28 20:00,27.90,-27.90,46.81,0
2014-01-28 20:30,30.40,-28.10,45.79,0
2014-01-28 21:00,28.70,-28.20,48.87,0
2014-01-28 21:30,23.00,-28.10,48.36,0
2014-01-28 22:30,27.90,-28.20,44.24,0
2014-01-28 23:00,26.30,-28.00,48.87,0
2014-01-29 00:00,22.80,-27.80,45.79,0
2014-01-29 00:30,23.00,-27.80,45.79,0
2014-01-29 01:00,24.60,-27.70,45.79,0
2014-01-29 01:30,27.30,-27.70,47.84,0
2014-01-29 02:00,22.60,-27.70,46.81,0
2014-01-29 02:30,26.70,-27.60,45.27,0
2014-01-29 03:00,26.10,-27.60,45.79,0
2014-01-29 03:30,23.60,-27.90,44.24,0
2014-01-29 04:00,25.40,-28.10,46.81,0
2014-01-29 05:00,21.50,-28.30,44.76,0
2014-01-29 05:30,24.20,-28.40,44.24,0
2014-01-29 06:00,24.80,-28.50,44.24,0
2014-01-29 06:30,25.20,-28.60,45.27,0
2014-01-29 07:00,24.00,-28.70,46.30,0
2014-01-29 07:30,20.10,-28.80,47.33,0
2014-01-29 08:00,23.00,-29.10,46.30,0
2014-01-29 08:30,22.00,-29.30,47.33,0
2014-01-29 09:00,24.40,-29.30,47.84,0
2014-01-29 09:30,26.30,-29.10,47.33,0
2014-01-29 10:00,22.80,-29.40,47.84,0
2014-01-29 10:30,19.70,-29.50,48.36,0
2014-01-29 11:00,21.50,-29.40,46.81,0
2014-01-29 11:30,23.40,-29.40,48.87,0
2014-01-29 12:00,22.80,-29.40,48.87,0
2014-01-29 12:30,20.70,-29.50,48.36,0
2014-01-29 13:00,21.50,-29.60,47.84,0
2014-01-29 13:30,22.00,-29.70,48.87,0
2014-01-29 14:00,20.50,-29.70,49.90,0
2014-01-29 14:30,20.90,-29.70,51.96,0
2014-01-29 15:00,22.80,-29.70,50.93,0
2014-01-29 15:30,23.40,-29.50,43.21,0
2014-01-29 16:00,20.90,-29.40,45.27,0
2014-01-29 16:30,17.00,-29.40,47.84,0
2014-01-29 17:00,21.60,-29.40,48.87,0
2014-01-29 17:30,17.40,-29.30,46.81,0
2014-01-29 18:00,21.50,-29.20,45.27,0
2014-01-29 18:30,20.30,-29.00,44.24,0
2014-01-29 19:00,17.70,-28.80,45.79,0
2014-01-29 19:30,14.20,-28.70,52.99,0
2014-01-29 20:00,12.90,-28.50,50.42,0
2014-01-29 20:30,13.10,-28.30,51.44,0
2014-01-29 21:00,14.40,-28.10,52.99,0
2014-01-29 21:30,14.40,-28.10,49.90,0
2014-01-29 22:00,14.60,-28.10,52.47,0
2014-01-29 22:30,16.80,-27.80,49.90,0
2014-01-29 23:00,19.70,-27.60,44.76,0
2014-01-29 23:30,16.80,-27.50,45.27,0
2014-01-30 00:00,19.90,-27.20,40.64,0
2014-01-30 00:30,16.60,-27.10,43.21,0
2014-01-30 01:00,14.60,-27.00,47.33,0
2014-01-30 01:30,15.00,-27.00,50.93,0
